time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
1.2228,Red,300.76,906.61,98.60,116.70,0.724,334.42,877.75,1.000,277.01,869.19,1.000,264.56,910.05,1.000,323.82,915.85,1.000,ongoing
1.2230,Blue,514.99,898.43,93.26,119.90,0.717,546.31,865.24,1.000,487.84,863.09,1.000,482.87,901.42,1.000,535.93,903.55,1.000,ongoing
1.4433,Red,300.93,890.62,97.20,118.47,0.720,333.47,859.75,1.000,278.66,852.49,1.000,265.41,891.82,1.000,321.03,898.09,1.000,ongoing
1.4436,Blue,512.66,887.54,89.59,121.92,0.717,542.56,856.67,1.000,487.34,852.60,1.000,478.74,888.75,1.000,527.48,893.99,1.000,ongoing
1.6284,Blue,471.51,923.39,92.89,95.00,0.721,503.71,903.39,1.000,451.34,896.14,1.000,438.84,931.85,1.000,492.10,940.01,1.000,ongoing
1.6286,Red,253.55,928.12,95.38,91.20,0.716,282.49,904.80,1.000,228.35,906.37,1.000,225.60,944.41,1.000,279.42,940.19,1.000,ongoing
1.8165,Unknown,443.67,942.74,87.72,52.82,0.678,462.68,933.76,1.000,425.60,935.81,1.000,430.38,957.39,1.000,462.51,953.66,1.000,ongoing
2.0226,Blue,456.27,924.49,93.05,91.02,0.720,486.72,904.80,1.000,434.35,900.55,1.000,425.61,935.57,1.000,478.98,940.83,1.000,ongoing
2.0228,Red,235.89,924.77,96.96,92.33,0.718,264.34,904.56,1.000,209.29,901.29,1.000,200.85,940.73,1.000,261.37,941.91,1.000,ongoing
2.2262,Blue,504.78,845.37,93.52,118.30,0.719,537.92,813.91,1.000,482.05,808.26,1.000,470.41,848.16,1.000,525.40,852.58,1.000,ongoing
2.2263,Red,294.87,836.15,96.88,116.71,0.713,321.02,811.96,1.000,270.63,801.43,1.000,256.35,841.33,1.000,315.09,848.38,1.000,ongoing
2.4153,Blue,573.33,757.36,85.66,113.33,0.715,607.54,731.73,1.000,552.89,723.37,1.000,539.25,758.59,1.000,586.13,768.18,1.000,ongoing
2.4155,Red,372.32,750.39,90.85,108.71,0.714,396.21,723.81,1.000,348.28,719.03,1.000,336.85,755.28,1.000,387.18,758.02,1.000,ongoing
2.6083,Blue,605.50,719.85,85.78,110.11,0.717,635.99,688.28,1.000,581.65,686.23,1.000,574.47,722.11,1.000,624.04,724.49,1.000,ongoing
2.6084,Red,407.34,704.57,90.01,106.61,0.716,437.57,682.67,1.000,386.52,671.71,1.000,371.88,707.57,1.000,421.56,716.87,1.000,ongoing
2.8012,Blue,618.04,687.14,88.40,112.12,0.719,650.44,659.70,1.000,597.28,650.94,1.000,583.64,687.04,1.000,633.98,695.83,1.000,ongoing
