time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0083,CubeRed,-0.0007,0.0656,-0.0031,0.9978,0
0.0085,CubeBlue,0.2151,0.4315,-0.1187,0.8680,0
0.1089,CubeRed,-0.0007,0.0656,-0.0031,0.9978,0
0.1092,CubeBlue,0.2164,0.4314,-0.1188,0.8677,0
0.1358,CubeRed,0.0003,0.0656,-0.0018,0.9978,0
0.1360,CubeBlue,0.2162,0.4314,-0.1191,0.8678,0
0.1920,CubeRed,-0.0003,0.0656,-0.0017,0.9978,0
0.1922,CubeBlue,0.2156,0.4316,-0.1183,0.8679,0
0.3019,CubeRed,0.0000,0.0656,-0.0027,0.9978,0
0.3021,CubeBlue,0.2155,0.4313,-0.1191,0.8679,0
0.3310,CubeRed,-0.0011,0.0656,-0.0031,0.9978,0
0.3314,CubeBlue,0.2142,0.4315,-0.1186,0.8683,0
0.3882,CubeRed,0.0000,0.0656,-0.0031,0.9978,0
0.3884,CubeBlue,0.2151,0.4313,-0.1192,0.8680,0
0.4979,CubeRed,-0.0006,0.0656,-0.0033,0.9978,0
0.4981,CubeBlue,0.2147,0.4315,-0.1187,0.8681,0
0.5274,CubeRed,-0.0004,0.0656,-0.0029,0.9978,0
0.5277,CubeBlue,0.2145,0.4315,-0.1185,0.8682,0
0.5800,CubeRed,-0.0001,0.0656,-0.0034,0.9978,0
0.5802,CubeBlue,0.2145,0.4315,-0.1185,0.8682,0
0.6916,CubeRed,0.0009,0.0656,-0.0029,0.9978,0
0.6919,CubeBlue,0.2164,0.4315,-0.1182,0.8678,1
0.7211,CubeRed,0.0007,0.0656,-0.0028,0.9978,0
0.7213,CubeBlue,0.2167,0.4314,-0.1186,0.8677,0
0.7747,CubeRed,-0.0003,0.0656,-0.0032,0.9978,0
0.7749,CubeBlue,0.2157,0.4315,-0.1183,0.8679,0
0.8865,CubeRed,-0.0004,0.0656,-0.0036,0.9978,0
0.8867,CubeBlue,0.2159,0.4312,-0.1191,0.8679,0
0.9159,CubeRed,0.0006,0.0656,-0.0029,0.9978,0
0.9164,CubeBlue,0.2150,0.4313,-0.1188,0.8681,0
0.9719,CubeRed,0.0005,0.0656,-0.0022,0.9978,0
0.9721,CubeBlue,0.2155,0.4314,-0.1185,0.8680,0
1.0809,CubeRed,-0.0005,0.0656,-0.0025,0.9978,0
1.0811,CubeBlue,0.2148,0.4314,-0.1184,0.8682,0
1.1085,CubeRed,-0.0004,0.0656,-0.0022,0.9978,0
1.1087,CubeBlue,0.2148,0.4314,-0.1183,0.8682,0
1.1636,CubeRed,-0.0004,0.0656,-0.0028,0.9978,0
1.1638,CubeBlue,0.2148,0.4314,-0.1183,0.8682,0
1.2723,CubeRed,-0.0001,0.0656,-0.0020,0.9978,0
1.2726,CubeBlue,0.2159,0.4314,-0.1184,0.8679,0
1.3024,CubeRed,-0.0004,0.0657,-0.0023,0.9978,0
1.3026,CubeBlue,0.2149,0.4314,-0.1182,0.8682,0
1.3585,CubeRed,-0.0004,0.0657,-0.0023,0.9978,0
1.3587,CubeBlue,0.2149,0.4313,-0.1184,0.8682,0
1.4667,CubeRed,0.0001,0.0657,-0.0024,0.9978,0
1.4670,CubeBlue,0.2148,0.4312,-0.1187,0.8682,0
1.4974,CubeRed,0.0001,0.0656,-0.0026,0.9978,0
1.4978,CubeBlue,0.2154,0.4312,-0.1186,0.8681,0
