time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
9.0222,CubeBlue,continuous_keypoint_yaw,-59.25,59.25,30.75,instant
11.5181,CubeBlue,continuous_keypoint_yaw,-42.77,42.77,42.77,instant
16.2134,CubeBlue,continuous_keypoint_yaw,-37.23,37.23,37.23,instant
18.7164,CubeBlue,continuous_keypoint_yaw,-37.23,37.23,37.23,instant
21.2428,CubeBlue,continuous_keypoint_yaw,-35.21,35.21,35.21,instant
23.3657,CubeRed,post_release_keypoint_yaw,-18.19,18.19,18.19,instant
23.7571,CubeBlue,continuous_keypoint_yaw,-28.43,28.43,28.43,instant
27.4501,CubeBlue,continuous_keypoint_yaw,-32.75,32.75,32.75,instant
28.6017,CubeRed,continuous_keypoint_yaw,-46.68,46.68,43.32,instant
30.1612,CubeBlue,continuous_keypoint_yaw,-30.34,30.34,30.34,instant
30.5465,CubeRed,post_release_keypoint_yaw,-12.70,12.70,12.70,smooth
33.0603,CubeBlue,continuous_keypoint_yaw,-28.97,28.97,28.97,instant
34.9754,CubeRed,post_release_keypoint_yaw,-45.68,45.68,44.32,instant
36.1266,CubeBlue,continuous_keypoint_yaw,-36.36,36.36,36.36,instant
38.2138,CubeRed,post_release_keypoint_yaw,-30.69,30.69,30.69,instant
40.1463,CubeBlue,continuous_keypoint_yaw,-29.42,29.42,29.42,instant
41.1152,CubeRed,post_release_keypoint_yaw,-67.51,67.51,22.49,instant
45.5221,CubeRed,continuous_keypoint_yaw,-42.19,42.19,42.19,instant
48.5229,CubeBlue,post_release_keypoint_yaw,-18.35,18.35,18.35,instant
48.9104,CubeRed,continuous_keypoint_yaw,-59.07,59.07,30.93,instant
51.8270,CubeRed,continuous_keypoint_yaw,-41.64,41.64,41.64,instant
53.5764,CubeBlue,continuous_keypoint_yaw,-16.59,16.59,16.59,instant
56.4660,CubeRed,continuous_keypoint_yaw,-55.98,55.98,34.02,instant
56.4663,CubeBlue,post_release_keypoint_yaw,-34.87,34.87,34.87,instant
