time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
0.2257,CubeBlue,0.0000,0.0000,0.0000,0.0000,-0.1436,0.0000,0.9896,0.00,343.49,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,1,16.617,0.00,-1.00,0.00
0.2262,CubeRed,0.0000,0.0000,0.0000,0.0000,-0.2058,0.0000,0.9786,0.00,336.24,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,23.762,0.00,-1.00,0.00
0.2786,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.1436,0.0000,-0.9896,0.00,343.49,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.2787,CubeRed,0.0000,0.0000,0.0000,0.0000,0.2059,0.0000,-0.9786,0.00,336.24,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4493,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.1436,0.0000,-0.9896,0.00,343.49,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4494,CubeRed,0.0000,0.0000,0.0000,0.0000,0.2059,0.0000,-0.9786,0.00,336.24,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4730,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.1436,0.0000,-0.9896,0.00,343.49,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4732,CubeRed,0.0000,0.0000,0.0000,0.0000,0.2059,0.0000,-0.9786,0.00,336.23,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5068,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.1437,0.0000,-0.9896,0.00,343.48,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5069,CubeRed,0.0000,0.0000,0.0000,0.0000,0.2059,0.0000,-0.9786,0.00,336.23,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6451,CubeBlue,-0.0800,0.0687,0.1299,0.0000,0.1958,0.0000,-0.9806,0.00,337.42,0.00,-2.6814,2.3030,4.3553,5.6091,203.36,0,none,Resting,0,0.000,0.00,-1.00,0.00
