time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
0.6441,Blue,352.49,871.24,91.23,116.08,0.720,373.08,840.59,1.000,323.60,846.62,1.000,324.50,879.29,1.000,373.17,875.19,1.000,ongoing
0.6444,Red,548.16,865.63,97.94,113.30,0.719,557.28,829.20,1.000,516.34,846.62,1.000,530.44,877.57,1.000,577.98,859.38,1.000,ongoing
0.8441,Blue,342.20,875.38,93.86,116.27,0.721,361.62,844.08,1.000,312.39,850.06,1.000,314.84,885.46,1.000,370.80,879.19,1.000,ongoing
0.8444,Red,541.49,866.69,97.36,115.15,0.721,557.14,827.71,1.000,507.29,845.34,1.000,525.13,878.17,1.000,570.33,860.32,1.000,ongoing
1.0312,Red,537.33,865.28,97.91,111.66,0.722,548.00,829.31,1.000,504.54,848.33,1.000,520.23,876.62,1.000,569.91,861.88,1.000,ongoing
1.0315,Blue,338.11,873.06,94.37,117.96,0.718,360.74,842.91,1.000,311.02,844.03,1.000,308.84,883.39,1.000,369.53,880.39,1.000,ongoing
1.2113,Red,544.90,862.07,97.19,115.28,0.724,551.73,825.66,1.000,510.62,845.57,1.000,530.36,871.64,1.000,571.47,853.62,1.000,ongoing
1.2115,Blue,346.01,868.22,93.37,116.04,0.718,364.58,835.48,1.000,314.59,844.04,1.000,320.55,877.39,1.000,367.72,871.30,1.000,ongoing
1.4316,Red,558.29,861.49,97.00,115.77,0.724,567.65,828.04,1.000,527.12,842.93,1.000,540.57,868.24,1.000,581.56,856.40,1.000,ongoing
1.4317,Blue,360.90,866.73,93.34,115.90,0.718,382.56,836.60,1.000,332.69,838.97,1.000,332.34,873.60,1.000,382.33,872.06,1.000,ongoing
1.6205,Red,584.25,833.30,95.88,112.30,0.722,600.68,796.49,1.000,553.49,808.81,1.000,566.05,842.89,1.000,611.53,829.51,1.000,ongoing
1.6209,Blue,391.60,835.85,91.34,115.63,0.718,412.97,806.08,1.000,364.61,808.97,1.000,365.96,842.94,1.000,415.15,840.73,1.000,ongoing
1.8124,Red,615.79,804.09,93.64,109.52,0.722,631.63,768.58,1.000,584.76,778.87,1.000,592.50,812.53,1.000,641.54,804.15,1.000,ongoing
1.8128,Blue,427.14,803.57,88.54,112.12,0.719,450.78,778.61,1.000,403.05,775.09,1.000,395.70,806.97,1.000,442.59,812.09,1.000,ongoing
2.0011,Red,651.29,767.04,94.31,107.32,0.722,667.91,734.37,1.000,623.61,742.49,1.000,627.79,771.94,1.000,676.00,764.95,1.000,ongoing
2.0021,Unknown,466.06,758.65,87.17,106.12,0.712,490.54,732.04,1.000,441.98,730.04,1.000,433.60,761.38,1.000,481.19,767.59,1.000,ongoing
2.1869,Red,666.55,719.76,94.02,106.72,0.721,677.71,686.12,1.000,634.57,700.80,1.000,645.86,728.41,1.000,692.29,718.26,1.000,ongoing
2.1873,Blue,481.69,708.36,86.47,105.60,0.717,505.72,690.60,1.000,464.43,680.18,1.000,452.55,714.11,1.000,503.85,721.52,1.000,ongoing
