start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
16.5012,16.5013,0.0001,CubeRed,-0.0226,0.6262,0.5633,0.1542,0.7018,0.6069,0.0000,0.0000,0.0000,placement,Resting
16.5323,16.5324,0.0001,CubeRed,-0.0391,0.6331,0.5435,0.1542,0.7018,0.6069,0.0000,0.2454,0.2454,placement,Resting
16.5884,16.5885,0.0001,CubeRed,-0.0571,0.6416,0.5477,0.1542,0.7018,0.6069,0.0000,0.6639,0.6639,placement,Resting
16.6995,16.6996,0.0002,CubeRed,-0.0655,0.6514,0.5421,0.1578,0.7005,0.6031,0.0000,0.2528,0.2528,release,Resting
16.7277,16.7281,0.0004,CubeRed,-0.0658,0.6519,0.5357,0.1578,0.7005,0.6031,0.0000,0.0572,0.0572,placement,Resting
16.7821,16.7822,0.0001,CubeRed,-0.0693,0.6514,0.5236,0.1578,0.7005,0.6031,0.0000,0.4516,0.4516,placement,Resting
16.8931,16.8933,0.0002,CubeRed,-0.0812,0.6603,0.5100,0.1578,0.7005,0.6031,0.0000,0.3716,0.3716,placement,Resting
34.4249,34.4504,0.0255,CubeBlue,0.2263,0.7490,0.5402,-0.0549,0.6756,0.4182,0.0000,0.0000,0.0000,placement,Resting
40.2837,40.3380,0.0543,CubeBlue,0.2305,0.7429,0.5449,-0.0549,0.6756,0.4182,0.0000,0.0000,0.0000,placement,Resting
40.3381,40.4488,0.1107,CubeBlue,0.2236,0.7375,0.5528,-0.0549,0.6756,0.4182,0.0000,0.4266,0.4266,placement,Resting
40.4490,40.4788,0.0298,CubeBlue,0.2198,0.7349,0.5527,-0.0549,0.6756,0.4182,0.0000,0.0815,0.0815,placement,Resting
40.4793,40.5324,0.0531,CubeBlue,0.2188,0.7321,0.5510,-0.0549,0.6756,0.4182,0.0000,0.0313,0.0313,placement,Resting
40.5326,40.6439,0.1113,CubeBlue,0.2151,0.7445,0.5582,-0.0549,0.6756,0.4182,0.0000,0.4990,0.4990,placement,Resting
40.6441,40.6731,0.0290,CubeBlue,0.2126,0.7544,0.5638,-0.0549,0.6756,0.4182,0.0000,0.2199,0.2199,placement,Resting
40.6733,40.7282,0.0549,CubeBlue,0.2157,0.7554,0.5659,-0.0549,0.6756,0.4182,0.0000,0.0347,0.0347,placement,Resting
40.7283,40.8385,0.1102,CubeBlue,0.2169,0.7524,0.5663,-0.0549,0.6756,0.4182,0.0000,0.1128,0.1128,placement,Resting
40.8387,40.8669,0.0283,CubeBlue,0.2179,0.7529,0.5660,-0.0549,0.6756,0.4182,0.0000,0.0210,0.0210,placement,Resting
40.8671,40.9208,0.0538,CubeBlue,0.2193,0.7533,0.5651,-0.0549,0.6756,0.4182,0.0000,0.0154,0.0154,placement,Resting
40.9209,41.0325,0.1116,CubeBlue,0.2148,0.7506,0.5674,-0.0549,0.6756,0.4182,0.0000,0.2040,0.2040,placement,Resting
41.0327,41.0609,0.0281,CubeBlue,0.2109,0.7492,0.5704,-0.0549,0.6756,0.4182,0.0000,0.0945,0.0945,placement,Resting
41.0614,41.1156,0.0542,CubeBlue,0.2091,0.7500,0.5723,-0.0549,0.6756,0.4182,0.0000,0.0249,0.0249,placement,Resting
41.1157,41.2271,0.1113,CubeBlue,0.2064,0.7516,0.5741,-0.0549,0.6756,0.4182,0.0000,0.1324,0.1324,placement,Resting
41.2273,41.2553,0.0281,CubeBlue,0.2042,0.7514,0.5741,-0.0549,0.6756,0.4182,0.0000,0.0392,0.0392,placement,Resting
41.2555,41.3123,0.0568,CubeBlue,0.2033,0.7509,0.5743,-0.0549,0.6756,0.4182,0.0000,0.0097,0.0097,placement,Resting
41.3124,41.4206,0.1082,CubeBlue,0.2023,0.7507,0.5738,-0.0549,0.6756,0.4182,0.0000,0.0418,0.0418,placement,Resting
41.4208,41.4497,0.0289,CubeBlue,0.1998,0.7535,0.5743,-0.0549,0.6756,0.4182,0.0000,0.0658,0.0658,placement,Resting
41.4499,41.5042,0.0543,CubeBlue,0.1986,0.7555,0.5747,-0.0549,0.6756,0.4182,0.0000,0.0218,0.0218,placement,Resting
45.5039,45.5328,0.0289,CubeBlue,0.1882,0.7523,0.5769,-0.0549,0.6756,0.4182,0.0000,0.0000,0.0000,placement,Resting
45.5330,45.5876,0.0546,CubeBlue,0.1903,0.7551,0.5797,-0.0549,0.6756,0.4182,0.0000,0.0406,0.0406,placement,Resting
45.5877,45.6983,0.1106,CubeBlue,0.1952,0.7575,0.5789,-0.0549,0.6756,0.4182,0.0000,0.2026,0.2026,placement,Resting
45.6986,45.7282,0.0296,CubeBlue,0.1957,0.7576,0.5767,-0.0549,0.6756,0.4182,0.0000,0.0412,0.0412,placement,Resting
45.7287,45.7818,0.0530,CubeBlue,0.1962,0.7564,0.5755,-0.0549,0.6756,0.4182,0.0000,0.0159,0.0159,placement,Resting
45.7820,45.8927,0.1108,CubeBlue,0.1977,0.7699,0.5744,-0.0549,0.6756,0.4182,0.0000,0.4860,0.4860,placement,Resting
45.8930,45.9220,0.0290,CubeBlue,0.1963,0.7747,0.5745,-0.0549,0.6756,0.4182,0.0000,0.0952,0.0952,placement,Resting
45.9222,45.9787,0.0565,CubeBlue,0.1930,0.7697,0.5733,-0.0549,0.6756,0.4182,0.0000,0.0544,0.0544,placement,Resting
45.9788,46.0874,0.1085,CubeBlue,0.1933,0.7693,0.5741,-0.0549,0.6756,0.4182,0.0000,0.0330,0.0330,placement,Resting
46.0875,46.1174,0.0299,CubeBlue,0.1936,0.7710,0.5744,-0.0549,0.6756,0.4182,0.0000,0.0304,0.0304,placement,Resting
46.1176,46.1718,0.0542,CubeBlue,0.1921,0.7720,0.5732,-0.0549,0.6756,0.4182,0.0000,0.0197,0.0197,placement,Resting
46.1719,46.2839,0.1120,CubeBlue,0.1831,0.7914,0.5748,-0.0549,0.6756,0.4182,0.0000,0.7253,0.7253,placement,Resting
46.2841,46.3121,0.0280,CubeBlue,0.1713,0.8111,0.5715,-0.0549,0.6756,0.4182,0.0000,0.4292,0.4292,placement,Resting
59.4786,59.5069,0.0283,CubeBlue,0.1452,0.7014,0.5642,-0.0514,0.6933,0.4018,0.0000,0.0000,0.0000,placement,Resting
59.5070,59.5606,0.0536,CubeBlue,0.1316,0.7095,0.5785,-0.0514,0.6933,0.4018,0.0000,0.1908,0.1908,placement,Resting
59.5608,59.6728,0.1120,CubeBlue,0.1009,0.7013,0.5946,-0.0514,0.6933,0.4018,0.0000,1.2466,1.2466,placement,Resting
59.6731,59.6999,0.0268,CubeBlue,0.0892,0.7013,0.6072,-0.0514,0.6933,0.4018,0.0000,0.3194,0.3194,placement,Resting
59.7004,59.7541,0.0536,CubeBlue,0.0791,0.6967,0.6193,-0.0514,0.6933,0.4018,0.0000,0.1439,0.1439,placement,Resting
60.2848,60.3379,0.0531,CubeBlue,0.0641,0.6911,0.6199,-0.0514,0.6933,0.4018,0.0000,0.0000,0.0000,placement,Resting
60.3381,60.4498,0.1117,CubeBlue,0.0693,0.6743,0.6189,-0.0514,0.6933,0.4018,0.0000,0.6024,0.6024,placement,Resting
60.4500,60.4785,0.0286,CubeBlue,0.0683,0.6714,0.6189,-0.0514,0.6933,0.4018,0.0000,0.0583,0.0583,placement,Resting
