time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.0030,CubeBlue,0.1474,0.6992,0.4622,45.05,0,0.00,-1.00,0.00
0.0031,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.1086,CubeBlue,0.1414,0.7041,0.4679,43.81,0,0.00,-1.00,0.00
0.1088,CubeRed,-0.1330,0.6933,0.5961,4.03,0,0.00,-1.00,0.00
0.1365,CubeBlue,0.1445,0.7095,0.4784,42.66,0,0.00,-1.00,0.00
0.1367,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.1939,CubeBlue,0.1442,0.7199,0.4869,41.53,0,0.00,-1.00,0.00
0.1940,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.3038,CubeBlue,0.1325,0.7500,0.4968,39.17,0,0.00,-1.00,0.00
0.3040,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.3318,CubeBlue,0.1240,0.7629,0.4969,37.20,0,0.00,-1.00,0.00
0.3320,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.3855,CubeBlue,0.1334,0.7715,0.4995,37.20,0,0.00,-1.00,0.00
0.3857,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.5022,CubeBlue,0.1542,0.7903,0.4924,37.20,0,0.00,-1.00,0.00
0.5024,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.5257,CubeBlue,0.1605,0.8005,0.4594,37.19,0,0.00,-1.00,0.00
0.5261,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.5781,CubeBlue,0.1613,0.7975,0.4388,37.19,0,0.00,-1.00,0.00
0.5783,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.6901,CubeBlue,0.1345,0.6740,0.4385,37.19,0,0.00,-1.00,0.00
0.6904,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.7193,CubeBlue,0.1345,0.6740,0.4385,37.19,0,0.00,-1.00,0.00
0.7195,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.7730,CubeBlue,0.1345,0.6740,0.4385,37.19,0,0.00,-1.00,0.00
0.7731,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.8873,CubeBlue,0.1345,0.6740,0.4385,37.19,0,0.00,-1.00,0.00
0.8875,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
0.9138,CubeBlue,0.1345,0.6740,0.4385,37.19,0,0.00,-1.00,0.00
0.9141,CubeRed,-0.1330,0.6933,0.5961,4.02,0,0.00,-1.00,0.00
