time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
1.3241,CubeBlue,initial_keypoint_yaw,-3.18,3.18,3.18,smooth
1.3244,CubeRed,initial_keypoint_yaw,-33.01,33.01,33.01,instant
1.9142,CubeRed,continuous_keypoint_yaw,-28.67,28.67,28.67,instant
1.9145,CubeBlue,continuous_keypoint_yaw,1.69,1.69,1.69,smooth
4.4588,CubeRed,continuous_keypoint_yaw,-21.19,21.19,21.19,instant
4.4590,CubeBlue,continuous_keypoint_yaw,-3.32,3.32,3.32,smooth
6.9877,CubeBlue,continuous_keypoint_yaw,3.89,3.89,3.89,smooth
8.3942,CubeRed,post_release_keypoint_yaw,-14.35,14.35,14.35,smooth
9.9485,CubeBlue,continuous_keypoint_yaw,5.52,5.52,5.52,smooth
12.4741,CubeBlue,continuous_keypoint_yaw,-4.82,4.82,4.82,smooth
12.6673,CubeRed,post_release_keypoint_yaw,3.18,3.18,3.18,smooth
15.3902,CubeBlue,post_release_keypoint_yaw,-5.05,5.05,5.05,smooth
16.1666,CubeRed,post_release_keypoint_yaw,-1.18,1.18,1.18,smooth
19.0979,CubeRed,continuous_keypoint_yaw,6.15,6.15,6.15,smooth
19.2911,CubeBlue,continuous_keypoint_yaw,-9.26,9.26,9.26,smooth
22.4026,CubeBlue,continuous_keypoint_yaw,7.37,7.37,7.37,smooth
22.4028,CubeRed,continuous_keypoint_yaw,3.28,3.28,3.28,smooth
25.3196,CubeBlue,post_release_keypoint_yaw,16.33,16.33,16.33,instant
26.2914,CubeRed,continuous_keypoint_yaw,-5.31,5.31,5.31,smooth
29.5970,CubeBlue,post_release_keypoint_yaw,-3.69,3.69,3.69,smooth
32.1255,CubeBlue,continuous_keypoint_yaw,12.70,12.70,12.70,smooth
