time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
0.2746,CubeBlue,0.0000,0.0000,0.0000,0.0000,0.0473,0.0000,0.9989,0.00,5.43,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,5.438,0.00,-1.00,0.00
0.2751,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,9.886,0.00,-1.00,0.00
0.3188,CubeBlue,0.0000,0.0000,0.0000,-0.0011,0.0473,-0.0036,0.9989,359.90,5.43,359.58,0.0000,0.0000,0.0000,0.0000,2.11,1,fsr,HeldHard,17,0.000,0.00,-1.00,0.00
0.3189,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4833,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0474,0.0000,0.9989,0.00,5.43,0.00,-0.0597,-0.0463,0.1115,0.1347,11.52,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4834,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5110,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0473,0.0000,0.9989,0.00,5.43,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5111,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5342,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0473,0.0000,0.9989,0.00,5.42,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5343,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6822,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0473,0.0000,0.9989,0.00,5.43,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6826,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7110,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0473,0.0000,0.9989,0.00,5.43,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7114,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7543,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0473,0.0000,0.9989,0.00,5.43,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7544,CubeRed,0.0000,0.0000,0.0000,0.0000,0.0861,0.0000,0.9963,0.00,9.88,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8923,CubeBlue,-0.0022,-0.0017,0.0042,0.0000,0.0473,0.0000,0.9989,0.00,5.43,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
