time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
1.0909,Blue,656.78,933.85,90.36,71.84,0.707,675.65,917.29,1.000,625.93,923.02,1.000,629.78,955.23,1.000,681.80,951.36,1.000,initial
1.3242,Blue,717.14,922.63,98.40,98.14,0.725,744.30,889.85,1.000,689.42,894.05,1.000,690.04,931.72,1.000,748.70,928.53,1.000,ongoing
1.3245,Red,495.34,935.91,86.20,68.50,0.692,508.63,920.41,1.000,467.19,929.28,1.000,477.04,955.31,1.000,518.65,947.42,1.000,ongoing
1.5160,Blue,720.87,917.67,95.11,109.08,0.722,747.22,888.58,1.000,690.68,886.85,1.000,688.26,924.14,1.000,743.31,925.95,1.000,ongoing
1.5163,Red,499.62,928.79,93.54,84.62,0.718,516.82,905.89,1.000,474.77,913.01,1.000,478.63,944.08,1.000,530.17,939.02,1.000,ongoing
1.7087,Blue,717.14,913.68,98.90,114.34,0.725,746.79,878.61,1.000,690.82,879.01,1.000,686.37,917.33,1.000,744.92,917.07,1.000,ongoing
1.7089,Red,497.10,924.93,95.63,93.48,0.718,518.69,900.92,1.000,474.11,901.16,1.000,471.99,937.27,1.000,528.18,935.67,1.000,ongoing
1.9143,Red,496.25,923.03,91.94,97.01,0.725,511.83,893.62,1.000,464.83,904.15,1.000,472.21,935.89,1.000,521.17,925.54,1.000,ongoing
1.9145,Blue,712.52,910.77,96.41,116.11,0.725,740.84,874.89,1.000,686.34,876.36,1.000,682.21,917.87,1.000,743.11,913.99,1.000,ongoing
2.1183,Red,492.47,921.05,93.92,102.12,0.725,516.08,888.16,1.000,464.39,895.09,1.000,468.30,931.13,1.000,521.11,924.79,1.000,ongoing
2.1185,Blue,709.96,903.55,96.74,118.01,0.723,737.36,869.30,1.000,683.53,867.89,1.000,677.54,909.96,1.000,740.68,907.61,1.000,ongoing
2.3061,Blue,712.64,897.29,96.66,116.34,0.724,736.04,865.90,1.000,687.66,867.37,1.000,685.32,900.64,1.000,737.96,899.40,1.000,ongoing
2.3064,Red,497.20,913.17,94.26,111.18,0.723,514.14,878.05,1.000,463.93,889.12,1.000,472.02,923.10,1.000,523.38,911.73,1.000,ongoing
2.4995,Blue,728.62,883.26,96.09,118.59,0.724,753.69,840.97,1.000,697.59,848.66,1.000,701.21,891.12,1.000,761.48,880.84,1.000,ongoing
2.4997,Red,514.05,899.92,94.11,115.50,0.720,539.09,864.15,1.000,484.73,869.12,1.000,484.40,905.59,1.000,539.10,901.53,1.000,ongoing
2.6940,Blue,729.08,881.85,96.50,117.26,0.725,756.39,839.23,1.000,699.02,844.86,1.000,699.58,887.81,1.000,761.09,880.23,1.000,ongoing
2.6943,Red,515.26,898.71,94.73,115.39,0.720,540.39,859.99,1.000,485.28,867.05,1.000,488.09,903.96,1.000,542.99,897.68,1.000,ongoing
2.8886,Blue,734.47,872.06,94.95,118.22,0.723,762.92,839.56,1.000,705.04,837.78,1.000,702.71,876.82,1.000,758.07,876.06,1.000,ongoing
2.8888,Red,518.29,889.65,94.22,119.89,0.722,542.89,855.20,1.000,490.80,855.98,1.000,484.07,895.58,1.000,547.05,894.39,1.000,ongoing
3.0834,Red,519.28,888.42,94.53,120.56,0.722,542.72,856.73,1.000,492.91,856.77,1.000,486.61,893.45,1.000,543.78,893.61,1.000,ongoing
3.0836,Blue,735.96,870.17,94.46,117.12,0.722,764.10,840.57,1.000,707.91,837.89,1.000,706.04,874.82,1.000,756.20,874.88,1.000,ongoing
3.2774,Red,520.61,882.20,95.72,117.39,0.723,545.28,849.05,1.000,494.97,849.58,1.000,490.64,886.12,1.000,543.53,885.19,1.000,ongoing
3.2777,Blue,737.57,867.53,95.49,115.21,0.721,757.42,831.98,1.000,707.52,838.65,1.000,710.95,874.25,1.000,764.09,866.02,1.000,ongoing
3.4875,Blue,733.71,864.66,95.92,114.90,0.724,757.84,833.95,1.000,708.31,833.48,1.000,703.06,866.45,1.000,752.38,866.45,1.000,ongoing
3.4879,Red,518.81,879.63,95.50,114.69,0.721,544.82,845.77,1.000,494.03,844.76,1.000,486.80,884.63,1.000,545.47,884.39,1.000,ongoing
3.6804,Blue,728.55,859.84,95.89,118.83,0.724,755.96,823.58,1.000,699.94,827.11,1.000,698.06,867.35,1.000,760.84,863.02,1.000,ongoing
3.6807,Red,514.92,875.76,94.51,120.38,0.718,533.28,842.98,1.000,483.79,850.32,1.000,486.30,885.53,1.000,538.50,878.18,1.000,ongoing
3.8760,Blue,726.73,859.26,96.52,118.47,0.723,753.92,822.76,1.000,697.94,824.95,1.000,694.70,867.38,1.000,761.55,862.80,1.000,ongoing
3.8761,Red,512.63,877.33,93.54,119.52,0.721,530.85,844.59,1.000,481.14,852.49,1.000,483.21,887.03,1.000,536.52,879.52,1.000,ongoing
4.0698,Blue,728.55,852.81,95.40,119.85,0.723,751.60,815.55,1.000,698.76,822.14,1.000,703.64,860.37,1.000,758.62,851.90,1.000,ongoing
4.0700,Red,514.54,870.79,94.78,119.17,0.718,538.49,835.88,1.000,488.88,835.45,1.000,483.65,875.85,1.000,545.28,874.08,1.000,ongoing
4.2637,Blue,728.60,852.13,95.23,118.25,0.722,753.74,816.12,1.000,699.92,819.90,1.000,700.33,859.29,1.000,758.19,853.51,1.000,ongoing
4.2639,Red,515.42,869.79,93.34,117.87,0.718,539.75,833.74,1.000,484.35,838.50,1.000,486.12,876.25,1.000,540.55,870.88,1.000,ongoing
4.4589,Red,517.31,869.72,93.61,117.67,0.723,541.25,833.46,1.000,489.23,835.64,1.000,484.97,876.79,1.000,548.39,873.09,1.000,ongoing
4.4591,Blue,730.34,852.23,96.35,118.93,0.722,756.09,815.70,1.000,701.52,820.30,1.000,702.31,859.07,1.000,758.38,852.86,1.000,ongoing
4.6516,Blue,733.20,851.75,95.98,117.62,0.722,761.43,814.71,1.000,705.18,816.80,1.000,702.10,855.15,1.000,757.42,852.58,1.000,ongoing
4.6518,Red,518.54,868.96,94.75,118.64,0.721,540.65,834.72,1.000,490.60,836.98,1.000,488.13,875.40,1.000,545.89,872.02,1.000,ongoing
4.8470,Blue,743.58,851.13,95.71,117.04,0.723,772.46,815.84,1.000,717.92,814.85,1.000,710.04,856.40,1.000,771.48,856.08,1.000,ongoing
4.8472,Red,530.62,867.44,93.86,115.31,0.719,551.39,832.80,1.000,501.17,840.03,1.000,506.13,873.32,1.000,556.60,866.14,1.000,ongoing
5.0440,Red,535.79,867.24,95.23,115.40,0.723,559.37,832.83,1.000,508.25,837.14,1.000,505.98,874.32,1.000,561.72,870.60,1.000,ongoing
5.0442,Blue,751.00,852.08,94.89,116.77,0.721,778.12,819.74,1.000,724.11,818.73,1.000,719.56,853.90,1.000,772.44,856.24,1.000,ongoing
5.2356,Red,546.39,872.65,93.19,118.84,0.719,569.00,837.94,1.000,516.05,842.79,1.000,518.58,878.75,1.000,570.98,873.42,1.000,ongoing
5.2358,Blue,757.57,844.98,97.31,83.56,0.719,787.54,820.41,1.000,736.23,817.45,1.000,726.19,855.67,1.000,787.25,861.86,1.000,ongoing
5.4312,Blue,803.20,873.66,98.84,120.51,0.717,833.10,836.65,1.000,772.59,837.16,1.000,772.63,879.34,1.000,830.22,876.74,1.000,ongoing
5.4314,Red,589.36,881.80,89.86,105.16,0.715,602.92,857.19,1.000,562.99,865.14,1.000,571.56,890.84,1.000,612.83,882.72,1.000,ongoing
5.6282,Blue,853.59,886.27,100.64,121.53,0.721,879.84,848.90,1.000,825.20,852.70,1.000,825.70,895.47,1.000,889.06,887.64,1.000,ongoing
5.6284,Red,626.10,885.78,103.91,123.36,0.719,643.68,839.10,1.000,590.88,859.07,1.000,605.55,894.67,1.000,660.48,876.05,1.000,ongoing
5.8197,Blue,879.41,883.92,106.69,120.99,0.721,908.35,844.15,1.000,848.53,847.05,1.000,850.34,888.55,1.000,911.19,883.43,1.000,ongoing
5.8198,Red,642.03,866.00,110.10,121.81,0.715,667.53,818.00,1.000,605.15,833.26,1.000,618.34,876.62,1.000,682.26,858.10,1.000,ongoing
6.0137,Red,652.53,861.22,106.75,116.47,0.726,663.22,825.05,1.000,616.66,843.73,1.000,634.84,873.97,1.000,683.70,858.06,1.000,ongoing
6.0139,Blue,885.95,881.72,104.57,120.42,0.720,916.57,840.72,1.000,857.06,842.62,1.000,855.12,890.62,1.000,924.83,882.94,1.000,ongoing
6.2077,Red,651.85,871.24,107.10,119.28,0.726,671.69,830.45,1.000,614.67,846.69,1.000,631.01,886.07,1.000,689.37,866.75,1.000,ongoing
6.2080,Blue,888.36,891.30,105.02,122.51,0.722,921.17,856.71,1.000,860.26,852.00,1.000,851.98,897.71,1.000,919.61,897.35,1.000,ongoing
6.4032,Red,646.16,870.06,108.74,117.72,0.722,665.00,829.38,1.000,611.09,846.07,1.000,627.44,886.46,1.000,685.49,865.51,1.000,ongoing
6.4034,Blue,882.83,887.11,104.33,122.12,0.718,910.19,849.69,1.000,850.86,853.59,1.000,856.88,893.08,1.000,913.70,887.58,1.000,ongoing
6.5949,Blue,876.24,880.71,106.85,121.98,0.726,905.80,842.15,1.000,846.62,842.93,1.000,844.43,886.17,1.000,907.74,882.53,1.000,ongoing
6.5951,Red,640.16,867.70,110.26,117.89,0.721,661.13,823.93,1.000,601.46,842.76,1.000,622.57,883.14,1.000,679.45,860.73,1.000,ongoing
6.7955,Red,633.69,867.82,110.90,117.32,0.726,653.84,824.80,1.000,595.62,844.43,1.000,615.34,885.54,1.000,671.83,862.56,1.000,ongoing
6.7957,Blue,866.29,875.27,103.91,122.51,0.721,895.13,839.07,1.000,834.16,840.80,1.000,837.82,883.66,1.000,894.99,878.87,1.000,ongoing
6.9878,Blue,861.13,873.28,104.80,122.25,0.723,891.33,839.90,1.000,831.02,836.54,1.000,828.14,878.21,1.000,886.55,877.34,1.000,ongoing
6.9880,Red,631.49,876.70,113.95,123.68,0.722,645.36,834.97,1.000,596.11,856.76,1.000,616.81,889.86,1.000,666.63,870.27,1.000,ongoing
7.1812,Red,630.42,869.29,121.91,126.20,0.723,647.75,821.45,1.000,590.07,843.79,1.000,617.35,880.44,1.000,666.99,858.22,1.000,ongoing
7.1814,Blue,848.15,868.86,103.20,119.91,0.719,877.72,833.96,1.000,817.63,834.17,1.000,820.21,874.29,1.000,876.81,870.96,1.000,ongoing
7.3726,Blue,838.59,866.89,100.63,117.59,0.723,867.45,825.97,1.000,809.17,829.92,1.000,809.17,875.81,1.000,874.99,867.44,1.000,ongoing
7.3728,Red,632.02,860.36,123.90,122.40,0.721,654.96,815.34,1.000,592.92,831.41,1.000,612.63,874.14,1.000,674.62,852.50,1.000,ongoing
7.5696,Blue,839.54,865.87,101.39,118.74,0.723,869.96,824.45,1.000,810.99,827.20,1.000,809.43,873.41,1.000,876.43,865.95,1.000,ongoing
7.5698,Red,646.63,853.35,119.83,123.24,0.719,661.66,807.70,1.000,605.43,832.20,1.000,634.78,868.48,1.000,684.52,844.68,1.000,ongoing
7.7639,Blue,836.84,865.74,99.32,116.75,0.722,862.40,827.06,1.000,808.34,831.25,1.000,810.48,875.12,1.000,874.03,865.49,1.000,ongoing
7.7641,Red,656.24,848.05,117.30,114.28,0.721,676.63,807.96,1.000,619.07,823.64,1.000,635.49,864.49,1.000,695.13,845.79,1.000,ongoing
7.9583,Blue,838.32,864.73,98.98,117.43,0.722,865.73,826.04,1.000,811.68,829.55,1.000,811.82,872.36,1.000,874.37,863.85,1.000,ongoing
