time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
0.1096,Red,601.60,801.99,106.18,114.85,0.719,624.01,760.09,1.000,568.97,773.26,1.000,580.60,813.61,1.000,636.48,796.45,1.000,ongoing
0.1098,Blue,871.31,721.80,96.63,107.48,0.718,877.77,693.21,1.000,843.11,707.59,1.000,862.07,729.91,1.000,898.72,716.11,1.000,ongoing
0.3013,Blue,849.90,717.27,93.36,103.81,0.721,857.15,685.53,1.000,817.64,700.11,1.000,839.73,727.43,1.000,878.01,707.83,1.000,ongoing
0.3016,Red,576.63,797.34,99.47,119.16,0.704,586.39,759.21,1.000,540.62,776.28,1.000,559.06,808.08,1.000,606.88,787.80,1.000,ongoing
0.4953,Blue,835.70,713.77,92.42,103.23,0.715,851.55,684.00,1.000,807.20,694.85,1.000,820.81,724.40,1.000,861.99,712.19,1.000,ongoing
0.4956,Red,565.91,789.84,105.26,116.27,0.715,561.58,754.29,1.000,534.18,782.29,1.000,568.90,802.46,1.000,593.52,772.82,1.000,ongoing
0.6907,Blue,822.44,715.91,95.15,104.36,0.721,831.43,680.00,1.000,787.93,699.84,1.000,810.28,728.61,1.000,854.78,711.54,1.000,ongoing
0.6910,Red,552.06,787.29,111.83,116.90,0.709,564.43,749.31,1.000,521.20,768.96,1.000,544.63,799.03,1.000,582.54,778.87,1.000,ongoing
0.8821,Blue,818.63,708.54,92.35,105.81,0.718,832.62,682.41,1.000,790.33,690.15,1.000,803.14,718.31,1.000,841.73,706.92,1.000,ongoing
0.8823,Red,546.82,782.45,105.74,117.70,0.711,547.96,749.18,1.000,514.77,772.30,1.000,544.11,796.98,1.000,574.85,769.44,1.000,ongoing
1.0792,Blue,818.91,707.37,93.11,105.77,0.719,833.54,681.94,1.000,791.28,687.30,1.000,801.65,716.20,1.000,840.61,705.90,1.000,ongoing
1.0793,Red,548.15,780.25,106.53,118.86,0.708,551.98,745.27,1.000,515.10,766.93,1.000,543.93,794.60,1.000,577.48,766.71,1.000,ongoing
1.2741,Blue,818.18,705.30,92.35,104.15,0.720,829.28,680.37,1.000,790.30,686.28,1.000,802.81,713.49,1.000,840.23,701.01,1.000,ongoing
1.2744,Red,548.27,776.63,106.65,120.55,0.715,561.11,736.29,1.000,516.89,757.25,1.000,537.83,789.08,1.000,582.37,771.07,1.000,ongoing
1.4676,Blue,817.29,704.30,93.35,105.36,0.720,826.82,678.92,1.000,789.38,685.74,1.000,801.87,711.30,1.000,838.68,699.27,1.000,ongoing
1.4679,Red,547.84,777.74,104.73,120.61,0.712,559.60,740.44,1.000,513.36,758.11,1.000,536.49,791.63,1.000,579.60,768.41,1.000,ongoing
1.6621,Blue,816.80,703.36,92.54,103.77,0.721,825.24,677.99,1.000,788.15,685.84,1.000,803.16,710.61,1.000,838.44,696.93,1.000,ongoing
1.6623,Red,547.82,776.92,103.75,116.90,0.712,553.33,740.72,1.000,516.06,764.24,1.000,543.31,790.19,1.000,578.64,766.07,1.000,ongoing
1.8570,Blue,817.71,702.80,92.07,102.50,0.720,827.35,676.33,1.000,788.16,684.93,1.000,804.00,711.55,1.000,841.71,697.38,1.000,ongoing
1.8572,Red,549.26,776.10,104.90,118.39,0.710,551.56,739.04,1.000,519.11,765.30,1.000,549.57,789.54,1.000,579.44,761.49,1.000,ongoing
2.0524,Blue,816.52,702.22,92.47,102.54,0.720,825.20,676.38,1.000,787.81,684.41,1.000,802.53,708.90,1.000,838.22,696.04,1.000,ongoing
