time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.2219,CubeRed,0.0000,0.0000,0.0000,11.10,0,0.00,-1.00,0.00
0.2224,CubeBlue,0.0000,0.0000,0.0000,308.06,0,0.00,-1.00,0.00
0.2724,CubeRed,0.0000,0.0000,0.0000,11.12,0,0.00,-1.00,0.00
0.2726,CubeBlue,0.0000,0.0000,0.0000,308.06,0,0.00,-1.00,0.00
0.4431,CubeRed,0.0000,0.0000,0.0000,11.12,0,0.00,-1.00,0.00
0.4433,CubeBlue,0.0000,0.0000,0.0000,308.06,0,0.00,-1.00,0.00
0.4708,CubeRed,0.0000,0.0000,0.0000,11.13,0,0.00,-1.00,0.00
0.4709,CubeBlue,0.0000,0.0000,0.0000,308.07,0,0.00,-1.00,0.00
0.5000,CubeRed,0.0000,0.0000,0.0000,11.13,0,0.00,-1.00,0.00
0.5002,CubeBlue,0.0000,0.0000,0.0000,308.07,0,0.00,-1.00,0.00
0.6447,CubeRed,-0.0031,0.0601,0.1501,11.13,0,0.00,-1.00,0.00
0.6448,CubeBlue,-0.0351,0.0601,0.1467,308.07,0,0.00,-1.00,0.00
0.6661,CubeRed,-0.0182,0.3511,0.8766,11.14,0,0.00,-1.00,0.00
0.6665,CubeBlue,-0.2048,0.3511,0.8567,308.07,0,0.00,-1.00,0.00
0.7115,CubeRed,-0.0184,0.3563,0.8896,11.14,0,0.00,-1.00,0.00
0.7116,CubeBlue,-0.2078,0.3563,0.8694,308.07,0,0.00,-1.00,0.00
0.8380,CubeRed,-0.0189,0.3661,0.9139,11.15,0,0.00,-1.00,0.00
0.8382,CubeBlue,-0.2135,0.3661,0.8931,308.07,0,0.00,-1.00,0.00
0.8591,CubeRed,-0.0200,0.3862,0.9642,11.15,0,0.00,-1.00,0.00
0.8592,CubeBlue,-0.2252,0.3862,0.9422,308.07,0,0.00,-1.00,0.00
0.9084,CubeRed,-0.0200,0.3870,0.9661,11.16,0,0.00,-1.00,0.00
0.9085,CubeBlue,-0.2289,0.3925,0.9575,308.07,0,0.00,-1.00,0.00
1.0294,CubeRed,-0.0203,0.3925,0.9799,354.62,0,0.00,-1.00,0.00
1.0295,CubeBlue,-0.2289,0.3925,0.9575,4.47,0,0.00,-1.00,0.00
1.0495,CubeRed,-0.0203,0.3925,0.9799,354.64,0,0.00,-1.00,0.00
1.0497,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.1000,CubeRed,-0.0203,0.3925,0.9799,354.64,0,0.00,-1.00,0.00
1.1001,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.2590,CubeRed,-0.0203,0.3925,0.9799,354.64,0,0.00,-1.00,0.00
1.2592,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.2863,CubeRed,-0.0203,0.3925,0.9799,354.65,0,0.00,-1.00,0.00
1.2867,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
1.3150,CubeRed,-0.0203,0.3925,0.9799,354.65,0,0.00,-1.00,0.00
1.3151,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
1.4544,CubeRed,-0.0203,0.3925,0.9799,354.66,0,0.00,-1.00,0.00
1.4545,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.4776,CubeRed,-0.0203,0.3925,0.9799,354.66,0,0.00,-1.00,0.00
1.4777,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.5226,CubeRed,-0.0203,0.3925,0.9799,354.66,0,0.00,-1.00,0.00
1.5227,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.6408,CubeRed,-0.0203,0.3925,0.9799,354.66,0,0.00,-1.00,0.00
1.6410,CubeBlue,-0.2289,0.3925,0.9575,4.48,0,0.00,-1.00,0.00
1.6607,CubeRed,-0.0203,0.3925,0.9799,354.67,0,0.00,-1.00,0.00
1.6609,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
1.7106,CubeRed,-0.0203,0.3925,0.9799,354.67,0,0.00,-1.00,0.00
1.7107,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
1.8329,CubeRed,-0.0203,0.3925,0.9799,354.68,0,0.00,-1.00,0.00
1.8331,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
1.8563,CubeRed,-0.0203,0.3925,0.9799,354.68,0,0.00,-1.00,0.00
1.8568,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
1.9043,CubeRed,-0.0203,0.3925,0.9799,354.69,0,0.00,-1.00,0.00
1.9044,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
2.0288,CubeRed,-0.0203,0.3925,0.9799,354.69,0,0.00,-1.00,0.00
2.0290,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
2.0527,CubeRed,-0.0203,0.3925,0.9799,354.69,0,0.00,-1.00,0.00
2.0528,CubeBlue,-0.2289,0.3925,0.9575,4.49,0,0.00,-1.00,0.00
2.0994,CubeRed,-0.0203,0.3925,0.9799,354.69,0,0.00,-1.00,0.00
2.0996,CubeBlue,-0.2289,0.3925,0.9575,4.50,0,0.00,-1.00,0.00
2.2231,CubeRed,-0.0045,0.6684,0.7122,349.88,0,0.00,-1.00,0.00
2.2233,CubeBlue,-0.2289,0.3925,0.9575,4.53,0,0.00,-1.00,0.00
2.2417,CubeRed,-0.0045,0.6684,0.7122,349.89,0,0.00,-1.00,0.00
