time_s,head_px,head_py,head_pz,head_rx,head_ry,head_rz,head_rw,handR_px,handR_py,handR_pz,handR_rx,handR_ry,handR_rz,handR_rw,handL_px,handL_py,handL_pz,handL_rx,handL_ry,handL_rz,handL_rw,gaze_x,gaze_y,gaze_z
0.0890,0.0229,1.1734,0.1659,0.0419,0.0440,-0.0102,0.9981,0.0551,0.7486,0.5063,-0.4307,-0.1432,-0.4937,0.7418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0869,-0.0846,0.9926
0.2652,0.0229,1.1736,0.1661,0.0410,0.0425,-0.0104,0.9982,0.0548,0.7502,0.5037,-0.4197,-0.1409,-0.4951,0.7476,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0839,-0.0828,0.9930
0.2893,0.0225,1.1731,0.1668,0.0427,0.0402,-0.0111,0.9982,0.0548,0.7502,0.5038,0.4223,0.1413,0.4953,-0.7460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0794,-0.0862,0.9931
0.4627,0.0222,1.1728,0.1668,0.0441,0.0389,-0.0109,0.9982,0.0548,0.7505,0.5034,-0.4160,-0.1404,-0.4942,0.7503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0767,-0.0888,0.9931
0.4949,0.0154,1.1683,0.1682,0.0683,0.0051,-0.0114,0.9976,0.0549,0.7502,0.5038,0.4188,0.1409,0.4948,-0.7483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0086,-0.1364,0.9906
0.5288,0.0135,1.1685,0.1686,0.0662,-0.0031,-0.0115,0.9977,0.0548,0.7501,0.5039,0.4194,0.1408,0.4949,-0.7479,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0077,-0.1321,0.9912
0.6585,0.0118,1.1679,0.1684,0.0701,-0.0117,-0.0107,0.9974,0.0556,0.7495,0.5055,-0.4217,-0.1409,-0.5022,0.7417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0248,-0.1396,0.9899
0.7064,0.0052,1.1628,0.1677,0.1022,-0.0407,-0.0090,0.9939,0.0555,0.7496,0.5052,0.4207,0.1410,0.4988,-0.7445,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0827,-0.2025,0.9758
0.7530,0.0033,1.1618,0.1686,0.1056,-0.0438,-0.0080,0.9934,0.0570,0.7496,0.5058,0.4207,0.1396,0.5013,-0.7431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0888,-0.2090,0.9739
0.8516,0.0020,1.1615,0.1688,0.1074,-0.0426,-0.0063,0.9933,0.0558,0.7498,0.5072,0.4161,0.1461,0.4972,-0.7472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0861,-0.2129,0.9733
0.9005,-0.0010,1.1612,0.1707,0.1111,-0.0409,-0.0045,0.9930,0.0726,0.7504,0.5103,0.4554,0.0767,0.5405,-0.7033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0823,-0.2203,0.9720
0.9513,-0.0030,1.1603,0.1721,0.1148,-0.0416,-0.0021,0.9925,0.0827,0.7497,0.5080,0.4532,0.0787,0.5494,-0.6975,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0831,-0.2278,0.9702
1.0423,-0.0047,1.1588,0.1736,0.1214,-0.0438,0.0012,0.9916,0.0952,0.7501,0.4995,0.4564,0.0868,0.5416,-0.7006,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0866,-0.2408,0.9667
1.0948,-0.0074,1.1557,0.1756,0.1348,-0.0502,0.0049,0.9896,0.1024,0.7463,0.4588,0.4141,0.1200,0.5358,-0.7260,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0981,-0.2673,0.9586
1.1457,-0.0083,1.1538,0.1771,0.1433,-0.0539,0.0043,0.9882,0.1142,0.7428,0.4460,0.2840,0.1423,0.4491,-0.8351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1053,-0.2838,0.9531
1.2766,-0.0083,1.1521,0.1788,0.1484,-0.0536,0.0029,0.9875,0.1243,0.7388,0.4262,-0.2420,-0.1051,-0.2840,0.9218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1050,-0.2935,0.9502
1.3094,-0.0075,1.1481,0.1826,0.1615,-0.0551,0.0029,0.9853,0.1333,0.7344,0.4092,0.2100,0.0975,0.2208,-0.9475,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1077,-0.3186,0.9417
1.3442,-0.0068,1.1472,0.1834,0.1644,-0.0553,0.0022,0.9848,0.1329,0.7320,0.4059,0.2225,0.1021,0.2510,-0.9365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1081,-0.3240,0.9399
1.4705,-0.0058,1.1465,0.1839,0.1667,-0.0540,0.0004,0.9845,0.1275,0.7378,0.4140,-0.1640,-0.0825,-0.2924,0.9385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1063,-0.3284,0.9386
1.5171,-0.0035,1.1453,0.1852,0.1702,-0.0491,-0.0031,0.9842,0.1285,0.7370,0.4121,0.1408,0.0752,0.2920,-0.9430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0977,-0.3348,0.9372
1.5670,-0.0032,1.1448,0.1855,0.1713,-0.0492,-0.0030,0.9840,0.1274,0.7370,0.4146,0.1449,0.0732,0.2916,-0.9427,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.0978,-0.3369,0.9365
1.6545,-0.0036,1.1441,0.1857,0.1742,-0.0520,-0.0025,0.9833,0.1272,0.7373,0.4165,0.1448,0.0818,0.2821,-0.9449,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1031,-0.3424,0.9339
1.7056,-0.0043,1.1428,0.1860,0.1791,-0.0559,-0.0025,0.9822,0.1270,0.7356,0.4189,0.1507,0.0904,0.2621,-0.9489,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1107,-0.3516,0.9296
1.7556,-0.0044,1.1422,0.1863,0.1816,-0.0563,-0.0030,0.9818,0.1269,0.7350,0.4190,0.1527,0.0904,0.2576,-0.9498,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1117,-0.3562,0.9277
1.8475,-0.0043,1.1406,0.1866,0.1898,-0.0563,-0.0014,0.9802,0.1266,0.7355,0.4188,0.1511,0.0874,0.2525,-0.9517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1108,-0.3720,0.9216
1.8956,-0.0051,1.1364,0.1878,0.2077,-0.0588,0.0004,0.9764,0.1265,0.7356,0.4179,0.1535,0.0894,0.2514,-0.9515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1147,-0.4057,0.9068
1.9456,-0.0058,1.1349,0.1885,0.2127,-0.0616,0.0003,0.9752,0.1263,0.7359,0.4174,0.1536,0.0899,0.2480,-0.9523,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1200,-0.4149,0.9019
2.0449,-0.0065,1.1349,0.1890,0.2124,-0.0636,0.0019,0.9751,0.1262,0.7358,0.4173,0.1535,0.0897,0.2428,-0.9536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1232,-0.4145,0.9017
2.0945,-0.0071,1.1354,0.1899,0.2103,-0.0647,0.0037,0.9755,0.1263,0.7366,0.4159,0.1527,0.0903,0.2439,-0.9534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1246,-0.4107,0.9032
2.1438,-0.0069,1.1355,0.1906,0.2085,-0.0620,0.0022,0.9761,0.1262,0.7368,0.4153,0.1531,0.0907,0.2432,-0.9535,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1201,-0.4073,0.9054
2.2351,-0.0062,1.1351,0.1907,0.2097,-0.0584,0.0028,0.9760,0.1260,0.7371,0.4152,0.1529,0.0903,0.2444,-0.9533,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1129,-0.4097,0.9052
2.2833,-0.0057,1.1344,0.1910,0.2118,-0.0539,0.0034,0.9758,0.1261,0.7368,0.4151,0.1530,0.0914,0.2411,-0.9540,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1038,-0.4137,0.9045
2.3330,-0.0056,1.1341,0.1912,0.2125,-0.0527,0.0033,0.9757,0.1261,0.7365,0.4151,0.1538,0.0913,0.2401,-0.9541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1014,-0.4150,0.9041
2.4197,-0.0058,1.1338,0.1917,0.2130,-0.0528,0.0035,0.9756,0.1259,0.7369,0.4148,0.1524,0.0901,0.2390,-0.9547,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1015,-0.4160,0.9037
2.4693,-0.0061,1.1336,0.1922,0.2136,-0.0535,0.0038,0.9754,0.1258,0.7369,0.4149,0.1525,0.0900,0.2402,-0.9544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1028,-0.4171,0.9030
2.5204,-0.0061,1.1336,0.1928,0.2135,-0.0541,0.0039,0.9754,0.1253,0.7376,0.4142,0.1522,0.0893,0.2406,-0.9544,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1039,-0.4169,0.9030
2.6028,-0.0059,1.1332,0.1932,0.2139,-0.0535,0.0039,0.9754,0.1252,0.7380,0.4141,0.1517,0.0890,0.2409,-0.9545,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1028,-0.4177,0.9027
2.6522,-0.0056,1.1329,0.1937,0.2146,-0.0527,0.0037,0.9753,0.1254,0.7377,0.4144,0.1519,0.0883,0.2398,-0.9548,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1012,-0.4190,0.9023
2.7055,-0.0054,1.1329,0.1938,0.2143,-0.0520,0.0033,0.9754,0.1254,0.7377,0.4145,0.1510,0.0874,0.2398,-0.9550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1001,-0.4183,0.9028
2.7907,-0.0053,1.1331,0.1941,0.2135,-0.0525,0.0023,0.9755,0.1252,0.7378,0.4146,0.1504,0.0868,0.2401,-0.9551,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1015,-0.4168,0.9033
2.8395,-0.0051,1.1329,0.1944,0.2135,-0.0526,0.0016,0.9755,0.1251,0.7382,0.4139,0.1511,0.0870,0.2383,-0.9554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1020,-0.4168,0.9033
2.8904,-0.0051,1.1327,0.1943,0.2140,-0.0521,0.0018,0.9754,0.1252,0.7381,0.4140,0.1507,0.0868,0.2387,-0.9554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1010,-0.4177,0.9030
2.9771,-0.0054,1.1330,0.1941,0.2134,-0.0524,0.0026,0.9756,0.1251,0.7379,0.4137,0.1512,0.0864,0.2383,-0.9555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1012,-0.4166,0.9035
3.0253,-0.0057,1.1331,0.1937,0.2130,-0.0539,0.0031,0.9756,0.1252,0.7380,0.4139,0.1509,0.0865,0.2389,-0.9553,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1039,-0.4160,0.9034
3.0747,-0.0059,1.1334,0.1936,0.2118,-0.0542,0.0024,0.9758,0.1251,0.7383,0.4138,0.1507,0.0861,0.2387,-0.9555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1047,-0.4137,0.9044
3.1603,-0.0062,1.1337,0.1937,0.2111,-0.0547,0.0029,0.9759,0.1250,0.7384,0.4138,0.1503,0.0853,0.2385,-0.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1055,-0.4123,0.9049
3.2108,-0.0068,1.1341,0.1936,0.2103,-0.0556,0.0031,0.9761,0.1251,0.7383,0.4138,0.1505,0.0857,0.2388,-0.9555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1072,-0.4108,0.9054
3.2624,-0.0070,1.1341,0.1936,0.2100,-0.0557,0.0032,0.9761,0.1249,0.7384,0.4134,0.1507,0.0854,0.2387,-0.9555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1074,-0.4103,0.9056
3.3517,-0.0071,1.1342,0.1937,0.2097,-0.0558,0.0034,0.9762,0.1246,0.7380,0.4134,0.1514,0.0850,0.2389,-0.9554,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1075,-0.4097,0.9059
3.4091,-0.0076,1.1345,0.1936,0.2086,-0.0572,0.0036,0.9763,0.1246,0.7387,0.4131,0.1511,0.0850,0.2384,-0.9556,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1102,-0.4078,0.9064
3.4598,-0.0080,1.1346,0.1935,0.2082,-0.0584,0.0035,0.9763,0.1248,0.7386,0.4134,0.1505,0.0848,0.2383,-0.9557,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1126,-0.4069,0.9065
3.5836,-0.0082,1.1346,0.1937,0.2080,-0.0587,0.0039,0.9764,0.1255,0.7376,0.4142,0.1518,0.0868,0.2358,-0.9559,-0.1793,0.6166,0.0140,-0.1592,0.1428,-0.3821,-0.8990,-0.1130,-0.4066,0.9066
3.6308,-0.0086,1.1348,0.1937,0.2075,-0.0589,0.0046,0.9764,0.1243,0.7388,0.4131,0.1499,0.0831,0.2381,-0.9560,-0.1793,0.6166,0.0140,-0.1592,0.1428,-0.3821,-0.8990,-0.1132,-0.4058,0.9069
3.6802,-0.0088,1.1348,0.1936,0.2072,-0.0591,0.0048,0.9765,0.1240,0.7390,0.4130,0.1491,0.0815,0.2383,-0.9562,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1135,-0.4052,0.9072
3.7696,-0.0087,1.1349,0.1936,0.2069,-0.0596,0.0039,0.9765,0.1241,0.7391,0.4131,0.1491,0.0816,0.2371,-0.9565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1148,-0.4045,0.9073
3.8178,-0.0085,1.1351,0.1937,0.2063,-0.0593,0.0033,0.9767,0.1243,0.7386,0.4131,0.1505,0.0827,0.2382,-0.9559,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,-0.1146,-0.4033,0.9079
