start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
3.0520,3.0521,0.0001,CubeBlue,-0.0963,0.6796,0.7539,-0.0378,0.6604,0.9741,0.0000,0.0000,0.0000,placement,Resting
3.1080,3.1081,0.0001,CubeBlue,0.0097,0.7353,0.6968,-0.0378,0.6604,0.9741,0.0000,4.3456,4.3456,placement,Resting
3.2207,3.2209,0.0002,CubeBlue,0.1572,0.7834,0.6204,-0.0378,0.6604,0.9741,0.0000,3.1508,3.1508,placement,Resting
5.9494,5.9495,0.0002,CubeBlue,0.1169,0.6796,0.6706,-0.0430,0.6796,0.9513,0.0000,0.0000,0.0000,placement,Resting
12.4661,12.4662,0.0001,CubeBlue,-0.3271,0.6796,0.9481,-0.0200,0.6796,0.6601,0.0000,0.0000,0.0000,placement,Resting
12.5779,12.5781,0.0002,CubeBlue,-0.3313,0.6808,0.9437,-0.0552,0.6796,0.6342,0.0000,0.1201,0.1201,drop,Resting
15.9121,15.9661,0.0540,CubeRed,-0.0495,0.6796,0.6510,0.0818,0.6796,0.9566,0.0000,0.0000,0.0000,placement,Resting
17.8281,17.8576,0.0295,CubeRed,-0.1785,0.6612,0.9367,0.0813,0.6796,0.9622,0.0000,0.0000,0.0000,placement,Resting
17.8578,17.9103,0.0526,CubeRed,0.0331,0.7123,0.8016,0.0813,0.6796,0.9622,0.0000,2.2578,2.2578,placement,Resting
17.9105,18.0240,0.1135,CubeRed,0.2767,0.6937,0.6935,0.0813,0.6796,0.9622,0.0000,9.5544,9.5544,placement,Resting
18.0242,18.0524,0.0282,CubeRed,0.2487,0.6380,0.7008,0.0813,0.6796,0.9622,0.0000,1.1873,1.1873,placement,Resting
