time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0039,CubeRed,-0.1926,0.2225,-0.6624,0.6889,0
0.0041,CubeBlue,-0.0038,-0.5152,-0.0305,0.8565,0
0.1092,CubeRed,-0.1924,0.2228,-0.6616,0.6897,0
0.1095,CubeBlue,-0.0083,-0.5385,-0.0156,0.8424,0
0.1367,CubeRed,-0.1916,0.2237,-0.6606,0.6906,0
0.1372,CubeBlue,-0.0149,-0.5606,-0.0081,0.8279,0
0.1902,CubeRed,-0.1913,0.2240,-0.6608,0.6903,0
0.1904,CubeBlue,-0.0149,-0.5606,-0.0081,0.8279,0
0.3035,CubeRed,-0.1911,0.2241,-0.6615,0.6897,0
0.3039,CubeBlue,-0.0144,-0.5607,-0.0097,0.8279,0
0.3314,CubeRed,-0.1910,0.2243,-0.6610,0.6901,0
0.3316,CubeBlue,-0.0063,-0.5605,-0.0111,0.8280,0
0.3848,CubeRed,-0.1909,0.2245,-0.6605,0.6906,0
0.3850,CubeBlue,-0.0047,-0.5605,-0.0101,0.8281,0
0.4996,CubeRed,-0.1908,0.2247,-0.6602,0.6908,0
0.4998,CubeBlue,-0.0018,-0.5605,-0.0113,0.8281,0
0.5261,CubeRed,-0.1909,0.2249,-0.6604,0.6906,0
0.5264,CubeBlue,0.0008,-0.5604,-0.0100,0.8281,0
0.5801,CubeRed,-0.1906,0.2252,-0.6600,0.6909,0
0.5802,CubeBlue,0.0017,-0.5604,-0.0111,0.8281,0
0.6914,CubeRed,-0.1906,0.2252,-0.6600,0.6909,0
0.6916,CubeBlue,0.0035,-0.5604,-0.0102,0.8282,0
0.7201,CubeRed,-0.1905,0.2255,-0.6594,0.6914,0
0.7205,CubeBlue,0.0049,-0.5603,-0.0113,0.8282,0
0.7764,CubeRed,-0.1908,0.2253,-0.6591,0.6917,0
0.7766,CubeBlue,0.0049,-0.5603,-0.0113,0.8282,0
0.8871,CubeRed,-0.1904,0.2257,-0.6594,0.6914,0
0.8874,CubeBlue,0.0058,-0.5603,-0.0127,0.8282,0
0.9146,CubeRed,-0.1907,0.2256,-0.6595,0.6913,0
0.9148,CubeBlue,0.0061,-0.5603,-0.0130,0.8282,0
0.9683,CubeRed,-0.1906,0.2258,-0.6588,0.6919,0
0.9685,CubeBlue,0.0063,-0.5603,-0.0119,0.8282,0
1.0804,CubeRed,-0.1909,0.2255,-0.6590,0.6917,0
1.0807,CubeBlue,0.0060,-0.5603,-0.0123,0.8282,0
1.1099,CubeRed,-0.1909,0.2256,-0.6588,0.6918,0
1.1101,CubeBlue,0.0061,-0.5602,-0.0118,0.8282,0
1.1631,CubeRed,-0.1906,0.2260,-0.6582,0.6924,0
1.1632,CubeBlue,0.0066,-0.5602,-0.0118,0.8282,0
1.2740,CubeRed,-0.1908,0.2259,-0.6582,0.6924,0
1.2743,CubeBlue,0.0071,-0.5602,-0.0118,0.8283,0
1.3043,CubeRed,-0.1909,0.2259,-0.6589,0.6916,0
1.3048,CubeBlue,0.0066,-0.5602,-0.0128,0.8282,0
1.3578,CubeRed,-0.1909,0.2260,-0.6588,0.6917,0
1.3613,CubeBlue,0.0066,-0.5602,-0.0128,0.8282,0
1.4711,CubeRed,-0.1907,0.2263,-0.6582,0.6922,0
1.4716,CubeBlue,0.0072,-0.5602,-0.0126,0.8283,0
1.4993,CubeRed,-0.1906,0.2265,-0.6581,0.6923,0
1.4995,CubeBlue,0.0065,-0.5602,-0.0125,0.8283,0
1.5521,CubeRed,-0.1908,0.2263,-0.6579,0.6925,0
1.5523,CubeBlue,0.0061,-0.5602,-0.0136,0.8282,0
1.6677,CubeRed,-0.1907,0.2265,-0.6585,0.6919,0
1.6679,CubeBlue,0.0064,-0.5602,-0.0132,0.8283,0
