time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
0.6066,Blue,669.78,725.75,67.20,82.23,0.713,696.46,714.42,1.000,657.60,699.68,1.000,642.63,727.27,1.000,677.64,737.80,1.000,initial
0.6068,Red,569.05,711.14,64.36,81.04,0.695,584.13,695.74,1.000,556.08,690.25,1.000,548.47,711.83,1.000,575.84,714.03,1.000,initial
0.7981,Blue,666.36,725.15,67.75,81.69,0.711,690.67,715.09,1.000,656.04,699.99,1.000,642.82,724.50,1.000,674.30,734.46,1.000,ongoing
0.7982,Red,562.49,710.49,66.73,80.35,0.690,579.46,696.14,1.000,548.32,691.47,1.000,543.54,712.88,1.000,572.72,715.61,1.000,ongoing
0.9791,Blue,633.73,717.14,67.60,83.48,0.708,660.05,698.41,1.000,621.44,687.30,1.000,602.35,715.04,1.000,643.54,728.15,1.000,ongoing
0.9793,Red,530.03,703.60,70.25,84.40,0.613,544.24,688.12,1.000,518.81,686.46,1.000,517.69,705.52,1.000,540.15,706.80,1.000,ongoing
1.1634,Blue,628.75,712.61,64.37,81.70,0.708,649.76,697.61,1.000,613.11,690.72,1.000,605.27,716.48,1.000,636.99,719.85,1.000,ongoing
1.1637,Red,525.43,700.59,66.79,80.60,0.682,542.91,688.87,1.000,512.23,681.93,1.000,502.70,703.90,1.000,535.31,709.26,1.000,ongoing
1.3791,Blue,631.73,700.22,67.32,83.99,0.713,656.80,681.17,1.000,617.62,669.71,1.000,601.44,698.33,1.000,644.82,709.29,1.000,ongoing
1.3792,Red,527.12,689.51,67.48,80.75,0.697,543.58,675.31,1.000,512.96,671.46,1.000,508.44,693.07,1.000,539.94,695.65,1.000,ongoing
1.5672,Blue,634.27,688.54,67.17,83.21,0.708,656.38,672.72,1.000,618.97,662.50,1.000,604.57,689.05,1.000,644.46,699.36,1.000,ongoing
