time_s,tracker_id,bbox_x,bbox_y,bbox_w,bbox_h,bbox_score,kp0_x,kp0_y,kp0_v,kp1_x,kp1_y,kp1_v,kp2_x,kp2_y,kp2_v,kp3_x,kp3_y,kp3_v,calib_status
0.1068,Blue,578.21,749.15,90.70,110.53,0.712,608.56,726.16,1.000,561.22,711.82,1.000,548.94,741.36,1.000,589.36,749.49,1.000,ongoing
0.3001,Blue,575.88,762.45,88.84,112.79,0.715,608.96,729.02,1.000,551.50,725.30,1.000,544.56,763.09,1.000,598.24,767.13,1.000,ongoing
0.4920,Blue,577.17,738.31,87.03,109.59,0.715,608.04,711.65,1.000,554.39,704.04,1.000,541.37,743.12,1.000,592.05,747.74,1.000,ongoing
0.6864,Blue,583.20,839.00,91.60,120.57,0.713,611.82,818.24,1.000,564.67,807.47,1.000,551.45,839.37,1.000,595.34,849.09,1.000,ongoing
0.6865,Red,1084.32,817.14,72.43,61.89,0.664,1084.07,820.13,1.000,1080.77,815.55,1.000,1079.75,817.35,1.000,1081.02,821.36,1.000,ongoing
0.8834,Blue,564.74,933.68,86.57,73.16,0.710,591.62,924.41,1.000,549.67,913.04,1.000,535.95,942.63,1.000,581.78,953.05,1.000,ongoing
1.0788,Blue,597.96,703.08,88.43,108.46,0.715,627.99,677.39,1.000,576.09,667.18,1.000,563.61,705.15,1.000,616.38,712.14,1.000,ongoing
1.0790,Red,786.24,921.39,110.70,102.27,0.693,810.07,898.84,1.000,761.03,901.00,1.000,763.69,934.22,1.000,812.34,932.77,1.000,ongoing
1.2728,Blue,545.42,857.78,90.46,118.61,0.711,580.45,826.22,1.000,522.43,821.22,1.000,516.01,857.67,1.000,567.52,864.42,1.000,ongoing
1.4649,Blue,451.13,728.95,89.27,108.05,0.713,483.50,696.54,1.000,425.69,693.40,1.000,419.94,732.27,1.000,476.31,733.68,1.000,ongoing
1.4651,Red,639.48,929.03,102.43,85.35,0.620,646.73,925.33,1.000,628.94,921.11,1.000,631.56,932.48,1.000,639.24,934.17,1.000,ongoing
1.6614,Blue,418.62,788.92,91.79,113.44,0.708,449.03,768.00,1.000,397.35,755.25,1.000,381.49,792.35,1.000,427.59,801.31,1.000,ongoing
1.8530,Blue,416.90,771.41,90.45,109.99,0.713,446.52,740.94,1.000,392.94,736.14,1.000,384.92,772.07,1.000,436.49,778.74,1.000,ongoing
2.0495,Blue,442.53,803.81,93.93,115.73,0.716,481.42,781.18,1.000,422.95,765.79,1.000,405.58,805.09,1.000,455.95,816.11,1.000,ongoing
2.2412,Blue,470.29,738.36,91.57,111.68,0.719,505.07,713.61,1.000,450.38,700.07,1.000,432.99,740.46,1.000,488.12,750.07,1.000,ongoing
2.2420,Unknown,662.49,934.26,101.24,68.26,0.685,682.29,922.18,1.000,644.26,928.47,1.000,647.90,952.81,1.000,684.78,950.84,1.000,ongoing
2.4389,Blue,499.55,786.97,93.62,114.96,0.713,531.06,760.90,1.000,480.03,747.88,1.000,463.36,789.96,1.000,521.08,797.39,1.000,ongoing
2.6366,Blue,530.32,724.41,89.69,110.67,0.713,563.69,701.50,1.000,514.53,686.09,1.000,494.96,727.13,1.000,553.75,736.65,1.000,ongoing
2.6373,Unknown,721.81,931.14,102.05,79.76,0.639,722.76,933.19,1.000,708.96,928.57,1.000,709.21,935.12,1.000,713.31,940.65,1.000,ongoing
2.8255,Blue,528.67,771.44,89.02,111.89,0.712,559.88,747.77,1.000,508.02,737.06,1.000,490.39,774.83,1.000,540.54,782.66,1.000,ongoing
3.0223,Blue,514.86,734.89,89.89,113.92,0.715,544.45,707.31,1.000,491.52,700.37,1.000,478.98,738.04,1.000,528.77,744.63,1.000,ongoing
3.0233,Unknown,704.50,936.82,101.72,64.91,0.603,718.81,935.22,1.000,694.58,933.76,1.000,689.51,948.14,1.000,711.58,951.12,1.000,ongoing
3.2169,Blue,498.46,753.95,90.12,112.87,0.717,524.73,727.41,1.000,473.74,719.80,1.000,459.91,756.58,1.000,507.71,762.95,1.000,ongoing
3.4116,Blue,484.71,749.33,92.00,116.31,0.715,514.16,720.61,1.000,459.49,712.87,1.000,447.29,752.46,1.000,499.36,758.21,1.000,ongoing
3.6016,Blue,461.56,724.28,91.13,109.82,0.711,494.13,696.30,1.000,440.76,687.91,1.000,429.42,724.30,1.000,481.37,732.96,1.000,ongoing
3.6019,Red,649.49,927.51,104.92,87.97,0.616,668.25,918.53,1.000,637.25,916.72,1.000,635.87,933.43,1.000,661.08,940.17,1.000,ongoing
3.7871,Unknown,455.27,722.43,92.35,113.40,0.715,489.26,697.58,1.000,434.22,684.78,1.000,419.49,723.79,1.000,472.59,731.78,1.000,ongoing
3.7873,Red,645.00,926.43,107.09,92.91,0.664,663.11,913.46,1.000,625.39,915.62,1.000,628.92,940.02,1.000,668.04,940.77,1.000,ongoing
3.9775,Blue,330.78,716.02,97.22,115.31,0.719,368.56,687.72,1.000,309.79,675.01,1.000,291.70,715.86,1.000,350.59,727.24,1.000,ongoing
3.9777,Red,524.29,869.31,115.35,109.24,0.639,534.75,853.93,1.000,505.91,854.72,1.000,507.04,873.23,1.000,536.12,871.59,1.000,ongoing
4.1746,Blue,293.40,705.95,98.96,114.45,0.717,323.56,678.84,1.000,270.14,667.39,1.000,253.16,710.36,1.000,314.56,717.13,1.000,ongoing
4.1749,Red,635.89,699.10,143.12,129.12,0.643,635.58,691.23,1.000,624.68,695.21,1.000,627.50,700.33,1.000,636.87,697.60,1.000,ongoing
4.3661,Blue,273.86,696.86,98.29,117.18,0.718,309.10,668.51,1.000,251.71,657.40,1.000,238.95,695.21,1.000,294.97,706.28,1.000,ongoing
4.5508,Blue,261.23,691.48,98.06,114.52,0.713,283.16,659.35,1.000,230.44,661.93,1.000,225.53,701.27,1.000,279.52,696.81,1.000,ongoing
4.7414,Blue,261.89,692.28,100.71,118.51,0.710,294.58,662.53,1.000,237.92,651.99,1.000,221.30,696.83,1.000,285.28,702.73,1.000,ongoing
4.7417,Red,791.35,825.57,123.43,110.64,0.653,791.11,818.86,1.000,778.87,824.22,1.000,783.81,830.96,1.000,792.58,824.77,1.000,ongoing
4.9379,Blue,261.04,691.26,97.68,117.03,0.708,288.30,659.39,1.000,229.73,657.22,1.000,227.10,698.82,1.000,284.44,694.29,1.000,ongoing
4.9381,Red,786.87,835.43,121.96,122.84,0.647,805.76,807.19,1.000,760.93,813.61,1.000,768.89,842.49,1.000,805.43,834.04,1.000,ongoing
5.1299,Blue,265.86,691.29,99.97,117.35,0.708,299.66,663.30,1.000,241.49,653.52,1.000,225.79,695.15,1.000,283.27,702.19,1.000,ongoing
5.1302,Red,786.02,826.61,112.88,104.45,0.662,784.82,817.93,1.000,775.10,824.20,1.000,781.82,831.01,1.000,788.06,821.68,1.000,ongoing
5.3244,Blue,266.83,691.19,99.27,116.11,0.713,303.02,666.80,1.000,243.92,652.90,1.000,225.27,693.55,1.000,281.10,705.34,1.000,ongoing
5.3246,Red,789.76,833.50,120.81,114.00,0.605,785.33,819.41,1.000,772.98,825.59,1.000,782.66,832.33,1.000,789.98,828.95,1.000,ongoing
5.5224,Blue,266.72,692.27,98.95,117.06,0.712,304.25,670.21,1.000,246.08,653.53,1.000,225.22,693.49,1.000,279.29,708.07,1.000,ongoing
5.5226,Red,785.72,835.03,116.36,115.20,0.654,785.43,822.72,1.000,778.84,827.44,1.000,780.97,832.32,1.000,786.89,826.55,1.000,ongoing
5.7166,Blue,279.38,694.68,98.11,117.22,0.711,316.78,670.26,1.000,261.01,656.33,1.000,239.83,697.14,1.000,296.70,708.77,1.000,ongoing
5.7170,Red,794.48,837.11,116.46,119.74,0.601,802.11,816.65,1.000,780.48,826.18,1.000,786.01,838.69,1.000,812.31,832.84,1.000,ongoing
5.9086,Blue,298.86,692.53,97.05,115.63,0.712,336.96,670.67,1.000,279.18,654.24,1.000,257.64,693.55,1.000,311.59,707.87,1.000,ongoing
6.1057,Blue,397.80,682.03,89.43,108.23,0.715,430.09,654.69,1.000,375.99,644.89,1.000,361.89,681.40,1.000,414.63,691.53,1.000,ongoing
6.1059,Red,906.28,847.82,129.40,135.48,0.657,910.80,827.81,1.000,894.99,833.91,1.000,901.62,843.93,1.000,913.11,834.23,1.000,ongoing
6.2996,Blue,470.27,672.85,90.47,109.98,0.719,501.59,648.53,1.000,449.82,636.29,1.000,434.47,674.46,1.000,486.58,683.35,1.000,ongoing
6.2998,Red,979.38,861.48,131.87,136.85,0.631,989.02,844.79,1.000,971.14,851.46,1.000,977.38,864.77,1.000,989.61,856.48,1.000,ongoing
6.4937,Blue,519.01,672.40,90.85,110.24,0.719,547.78,646.45,1.000,496.33,636.38,1.000,484.76,673.96,1.000,536.65,680.07,1.000,ongoing
6.4939,Red,1035.99,871.06,139.69,119.31,0.673,1049.40,864.50,1.000,1027.60,860.00,1.000,1027.94,873.70,1.000,1044.17,873.08,1.000,ongoing
6.6897,Blue,546.92,674.71,89.07,109.60,0.712,578.93,652.17,1.000,524.36,640.63,1.000,508.45,680.27,1.000,558.33,687.20,1.000,ongoing
6.8803,Blue,566.20,679.62,89.12,109.90,0.715,601.46,653.60,1.000,547.43,639.83,1.000,528.22,680.06,1.000,584.12,690.97,1.000,ongoing
6.8805,Red,1053.47,921.91,60.03,89.73,0.670,1049.75,918.82,1.000,1050.52,917.36,1.000,1054.67,919.93,1.000,1053.16,916.12,1.000,ongoing
7.0764,Blue,593.23,694.19,87.91,106.63,0.709,626.00,665.58,1.000,571.15,658.97,1.000,562.19,694.29,1.000,615.00,702.40,1.000,ongoing
7.6604,Blue,642.15,702.29,84.25,66.37,0.600,644.67,695.33,1.000,630.33,699.65,1.000,633.68,712.04,1.000,644.84,705.78,1.000,ongoing
7.8548,Blue,646.70,673.47,84.86,81.97,0.664,646.34,670.75,1.000,638.54,671.62,1.000,641.92,678.78,1.000,646.18,675.61,1.000,ongoing
8.0458,Blue,618.69,677.11,103.13,110.53,0.690,630.20,666.41,1.000,613.12,665.25,1.000,614.05,680.86,1.000,622.07,677.21,1.000,ongoing
8.2439,Blue,608.51,793.17,105.46,113.68,0.708,628.00,779.28,1.000,606.80,769.79,1.000,593.60,785.46,1.000,617.15,789.56,1.000,ongoing
8.4411,Blue,598.02,836.03,102.66,118.18,0.716,629.34,814.75,1.000,583.24,798.29,1.000,561.99,836.84,1.000,614.44,846.53,1.000,ongoing
8.6329,Blue,589.48,840.77,104.65,118.86,0.725,623.62,816.88,1.000,577.25,804.16,1.000,563.92,833.44,1.000,603.09,846.65,1.000,ongoing
8.8247,Blue,583.23,845.24,103.16,118.44,0.714,622.18,810.81,1.000,561.01,803.86,1.000,549.00,849.64,1.000,615.67,855.34,1.000,ongoing
9.0221,Blue,568.71,848.83,102.23,134.33,0.721,606.69,815.53,1.000,546.05,809.01,1.000,534.98,853.52,1.000,596.41,857.17,1.000,ongoing
9.2151,Blue,554.50,845.04,103.94,132.92,0.723,592.48,809.56,1.000,529.72,803.24,1.000,517.90,847.84,1.000,579.53,854.61,1.000,ongoing
9.4078,Blue,535.53,844.41,101.48,135.68,0.713,572.56,809.93,1.000,511.92,800.95,1.000,496.78,845.82,1.000,558.11,851.02,1.000,ongoing
9.6047,Blue,510.17,844.17,105.26,132.48,0.721,548.82,807.03,1.000,484.93,800.45,1.000,474.77,844.17,1.000,536.01,851.42,1.000,ongoing
9.6050,Red,1091.12,914.42,145.50,122.18,0.634,1123.20,887.47,1.000,1076.13,893.45,1.000,1082.15,926.98,1.000,1126.91,929.63,1.000,ongoing
9.7992,Blue,484.14,843.69,102.26,132.98,0.718,518.43,806.74,1.000,455.34,801.76,1.000,450.12,844.68,1.000,512.83,849.77,1.000,ongoing
9.7994,Red,1057.56,907.68,145.85,140.97,0.689,1084.74,871.45,1.000,1030.37,884.09,1.000,1045.41,921.81,1.000,1096.01,909.07,1.000,ongoing
9.9951,Blue,420.19,847.97,103.61,137.69,0.717,451.21,810.67,1.000,390.00,810.54,1.000,389.86,852.52,1.000,449.79,851.15,1.000,ongoing
9.9953,Red,988.88,889.38,138.01,139.02,0.707,1021.38,845.56,1.000,959.97,857.20,1.000,969.74,900.63,1.000,1029.21,888.32,1.000,ongoing
10.1895,Red,911.79,873.29,129.19,136.61,0.718,940.53,827.70,1.000,876.40,839.27,1.000,886.62,885.24,1.000,950.82,871.55,1.000,ongoing
10.1897,Blue,340.57,861.45,105.16,132.46,0.712,374.35,828.73,1.000,313.29,823.38,1.000,307.20,865.30,1.000,368.44,870.15,1.000,ongoing
10.3797,Blue,309.06,864.97,109.19,137.84,0.718,343.76,825.73,1.000,278.57,824.86,1.000,277.60,870.24,1.000,343.72,870.30,1.000,ongoing
10.3800,Red,856.85,886.61,55.49,73.37,0.600,851.15,879.30,1.000,847.35,885.88,1.000,856.37,887.95,1.000,858.42,879.47,1.000,ongoing
10.5762,Blue,298.12,863.64,115.57,138.84,0.721,335.30,823.53,1.000,268.80,818.73,1.000,258.17,869.29,1.000,326.85,871.30,1.000,ongoing
10.5765,Red,871.06,854.26,118.01,123.11,0.678,901.49,822.32,1.000,849.04,819.07,1.000,848.88,853.02,1.000,890.39,855.56,1.000,ongoing
10.7720,Blue,303.84,860.63,112.76,136.08,0.718,339.03,822.66,1.000,276.48,818.81,1.000,268.36,863.07,1.000,330.33,867.74,1.000,ongoing
10.7721,Red,876.94,840.30,131.81,134.85,0.667,890.92,803.41,1.000,842.74,815.49,1.000,860.99,845.52,1.000,900.46,832.52,1.000,ongoing
10.9648,Blue,323.11,847.82,108.77,140.28,0.718,358.67,807.49,1.000,293.36,805.57,1.000,289.33,851.74,1.000,355.33,852.43,1.000,ongoing
11.1614,Blue,365.44,834.50,109.47,137.22,0.725,399.76,801.42,1.000,339.52,794.81,1.000,326.42,838.45,1.000,387.48,843.61,1.000,ongoing
11.1617,Red,898.91,705.60,121.94,108.94,0.654,902.60,699.10,1.000,889.01,700.87,1.000,888.66,709.33,1.000,902.09,709.72,1.000,ongoing
11.3580,Blue,387.10,827.60,105.39,137.08,0.717,417.67,799.05,1.000,362.40,791.59,1.000,351.27,830.98,1.000,404.39,833.33,1.000,ongoing
11.5503,Blue,390.65,828.87,105.31,131.02,0.715,425.01,793.36,1.000,365.59,786.02,1.000,349.58,833.20,1.000,414.49,839.28,1.000,ongoing
11.7406,Blue,390.67,827.55,105.42,131.43,0.713,428.02,794.49,1.000,368.30,784.07,1.000,349.60,830.37,1.000,412.90,839.24,1.000,ongoing
11.9373,Blue,406.02,823.92,103.30,134.03,0.715,437.05,788.47,1.000,378.71,784.30,1.000,371.26,825.55,1.000,430.99,826.22,1.000,ongoing
11.9375,Red,690.36,725.96,118.76,105.62,0.672,698.35,716.08,1.000,678.71,716.99,1.000,672.72,726.45,1.000,692.52,731.79,1.000,ongoing
12.1296,Blue,426.60,823.96,106.68,133.91,0.721,462.44,788.19,1.000,401.93,779.34,1.000,384.34,823.69,1.000,448.12,831.27,1.000,ongoing
12.1298,Red,645.52,775.78,118.37,109.29,0.634,657.94,761.57,1.000,630.25,761.66,1.000,632.98,777.97,1.000,655.41,777.31,1.000,ongoing
12.3243,Blue,435.16,821.14,104.33,132.85,0.719,467.31,785.34,1.000,406.57,780.23,1.000,398.68,822.65,1.000,459.42,823.80,1.000,ongoing
12.3246,Red,637.85,791.70,111.43,99.92,0.653,643.12,782.54,1.000,628.96,782.92,1.000,628.92,791.10,1.000,640.96,790.42,1.000,ongoing
12.5215,Blue,437.62,821.07,103.17,131.74,0.717,474.47,786.36,1.000,417.23,773.93,1.000,392.35,820.13,1.000,458.52,830.87,1.000,ongoing
12.7156,Red,608.00,839.87,103.26,100.87,0.720,628.09,812.28,1.000,579.35,819.75,1.000,588.74,852.52,1.000,637.44,843.70,1.000,ongoing
12.7159,Blue,438.87,819.99,103.36,131.22,0.717,474.37,781.25,1.000,416.04,773.55,1.000,396.80,819.49,1.000,461.22,826.13,1.000,ongoing
12.9139,Blue,440.33,817.04,105.47,135.42,0.717,479.72,783.56,1.000,419.31,773.54,1.000,400.87,818.11,1.000,460.39,826.59,1.000,ongoing
12.9142,Red,615.42,834.17,107.71,110.71,0.675,630.17,810.44,1.000,587.08,816.51,1.000,596.80,844.70,1.000,637.43,837.58,1.000,ongoing
13.1051,Blue,439.73,823.38,105.56,133.99,0.717,476.52,785.68,1.000,417.05,777.81,1.000,396.85,823.87,1.000,463.13,830.92,1.000,ongoing
13.1054,Red,619.68,833.39,107.74,108.88,0.622,635.20,812.01,1.000,596.98,814.88,1.000,601.91,839.47,1.000,636.85,838.57,1.000,ongoing
13.2982,Blue,440.79,821.49,105.67,132.36,0.718,478.99,782.08,1.000,416.78,776.38,1.000,399.26,823.46,1.000,465.94,828.96,1.000,ongoing
13.2985,Red,618.55,834.43,106.87,115.46,0.704,642.47,802.49,1.000,589.52,803.22,1.000,588.55,841.53,1.000,644.15,838.04,1.000,ongoing
