time_s,tracker_id,path,raw_offset_deg,abs_error_deg,sym_error_deg,calib_type
0.7541,CubeBlue,continuous_keypoint_yaw,19.82,19.82,19.82,instant
1.3410,CubeRed,continuous_keypoint_yaw,-4.27,4.27,4.27,smooth
3.8536,CubeBlue,continuous_keypoint_yaw,17.34,17.34,17.34,instant
5.2121,CubeRed,post_release_keypoint_yaw,-7.99,7.99,7.99,smooth
8.3252,CubeRed,continuous_keypoint_yaw,-6.98,6.98,6.98,smooth
8.5182,CubeBlue,continuous_keypoint_yaw,13.23,13.23,13.23,smooth
10.8502,CubeBlue,post_release_keypoint_yaw,31.32,31.32,31.32,instant
10.8505,CubeRed,continuous_keypoint_yaw,-15.30,15.30,15.30,instant
13.9658,CubeRed,continuous_keypoint_yaw,-18.98,18.98,18.98,instant
14.1592,CubeBlue,continuous_keypoint_yaw,24.65,24.65,24.65,instant
16.8784,CubeBlue,continuous_keypoint_yaw,23.33,23.33,23.33,instant
18.4371,CubeRed,post_release_keypoint_yaw,-15.16,15.16,15.16,instant
20.9606,CubeBlue,continuous_keypoint_yaw,35.28,35.28,35.28,instant
22.7011,CubeRed,post_release_keypoint_yaw,-43.40,43.40,43.40,instant
26.0054,CubeRed,continuous_keypoint_yaw,-47.60,47.60,42.40,instant
29.3147,CubeRed,continuous_keypoint_yaw,-48.88,48.88,41.12,instant
29.8949,CubeBlue,continuous_keypoint_yaw,37.44,37.44,37.44,instant
32.6136,CubeBlue,continuous_keypoint_yaw,38.85,38.85,38.85,instant
34.7416,CubeRed,continuous_keypoint_yaw,-33.35,33.35,33.35,instant
35.1301,CubeBlue,continuous_keypoint_yaw,35.60,35.60,35.60,instant
