start_time_s,end_time_s,duration_s,tracker_id,start_x,start_y,start_z,end_x,end_y,end_z,path_length_m,avg_speed_mps,max_speed_mps,release_type,final_contact_level
3.6897,3.6899,0.0001,CubeBlue,0.0360,0.6885,0.4857,-0.0892,0.7083,0.4543,0.0000,0.0000,0.0000,placement,Resting
3.7438,3.7439,0.0001,CubeBlue,-0.0081,0.7626,0.4110,-0.0892,0.7083,0.4543,0.0000,4.3399,4.3399,placement,Resting
3.8549,3.8551,0.0002,CubeBlue,-0.0317,0.7996,0.3425,-0.0892,0.7083,0.4543,0.0000,1.5145,1.5145,placement,Resting
3.8830,3.8831,0.0001,CubeBlue,-0.0359,0.7800,0.3012,-0.0892,0.7083,0.4543,0.0000,0.4067,0.4067,placement,Resting
9.1343,9.1909,0.0567,CubeRed,-0.1648,0.7114,0.4556,-0.0257,0.7083,0.3307,0.0000,0.0000,0.0000,placement,Resting
9.1910,9.2999,0.1088,CubeRed,-0.1662,0.7153,0.4604,-0.0257,0.7083,0.3307,0.0000,0.2135,0.2135,placement,Resting
9.3001,9.3278,0.0277,CubeRed,-0.1635,0.7371,0.4661,-0.0257,0.7083,0.3307,0.0000,0.4069,0.4069,placement,Resting
9.3282,9.3828,0.0546,CubeRed,-0.1530,0.8104,0.4680,-0.0257,0.7083,0.3307,0.0000,0.6748,0.6748,placement,Resting
9.3829,9.4903,0.1073,CubeRed,-0.0806,0.8806,0.4381,-0.0257,0.7083,0.3307,0.0000,3.8016,3.8016,placement,Resting
9.4904,9.5211,0.0307,CubeRed,-0.0260,0.8950,0.4266,-0.0257,0.7083,0.3307,0.0000,1.0581,1.0581,placement,Resting
9.5213,9.5776,0.0563,CubeRed,0.0257,0.8938,0.4201,-0.0257,0.7083,0.3307,0.0000,0.4786,0.4786,placement,Resting
9.5777,9.6845,0.1068,CubeRed,0.0945,0.8527,0.4317,-0.0282,0.7083,0.3417,0.0000,2.7296,2.7296,release,Resting
9.6847,9.7160,0.0312,CubeRed,0.1129,0.8136,0.4200,-0.0282,0.7083,0.3417,0.0000,0.7903,0.7903,placement,Resting
9.7161,9.7740,0.0579,CubeRed,0.1074,0.7723,0.4145,-0.0282,0.7083,0.3417,0.0000,0.3886,0.3886,placement,Resting
9.7742,9.8797,0.1055,CubeRed,0.0904,0.7384,0.4127,-0.0282,0.7083,0.3417,0.0000,1.2504,1.2504,placement,Resting
9.8798,9.9108,0.0310,CubeRed,0.0798,0.7186,0.4162,-0.0282,0.7083,0.3417,0.0000,0.3900,0.3900,placement,Resting
9.9112,9.9665,0.0553,CubeRed,0.0722,0.7035,0.4219,-0.0282,0.7083,0.3417,0.0000,0.1687,0.1687,placement,Resting
9.9667,10.0775,0.1108,CubeRed,0.0695,0.6969,0.4268,-0.0282,0.7083,0.3417,0.0000,0.2808,0.2808,placement,Resting
10.0776,10.1071,0.0295,CubeRed,0.0675,0.6988,0.4285,-0.0282,0.7083,0.3417,0.0000,0.0575,0.0575,placement,Resting
17.0742,17.0743,0.0001,CubeBlue,0.1845,0.7083,0.5207,0.0635,0.7083,0.4349,0.0000,0.0000,0.0000,placement,Resting
17.1059,17.1060,0.0001,CubeBlue,0.1526,0.6923,0.5240,0.0635,0.7083,0.4349,0.0000,0.3345,0.3345,placement,Resting
17.1597,17.1599,0.0001,CubeBlue,0.1616,0.6966,0.5377,0.0635,0.7083,0.4349,0.0000,0.5505,0.5505,placement,Resting
17.2680,17.2681,0.0001,CubeBlue,0.1784,0.7148,0.5412,0.0635,0.7083,0.4349,0.0000,0.4657,0.4657,placement,Resting
17.2994,17.2995,0.0001,CubeBlue,0.1787,0.7026,0.5464,0.0635,0.7083,0.4349,0.0000,0.1217,0.1217,placement,Resting
17.3544,17.3545,0.0001,CubeBlue,0.1774,0.7022,0.5447,0.0635,0.7083,0.4349,0.0000,0.0690,0.0690,placement,Resting
17.4658,17.4659,0.0001,CubeBlue,0.1762,0.7030,0.5449,0.0635,0.7083,0.4349,0.0000,0.0254,0.0254,placement,Resting
19.9920,19.9921,0.0001,CubeBlue,0.1250,0.7083,0.4109,0.0635,0.7083,0.4349,0.0000,0.0000,0.0000,placement,Resting
20.0230,20.0231,0.0001,CubeBlue,0.0624,0.8280,0.4131,0.0635,0.7083,0.4349,0.0000,1.2467,1.2467,placement,Resting
20.0764,20.0765,0.0001,CubeBlue,0.0334,0.8590,0.4475,0.0635,0.7083,0.4349,0.0000,1.7970,1.7970,placement,Resting
20.1871,20.1872,0.0002,CubeBlue,-0.0051,0.8666,0.4530,0.0635,0.7083,0.4349,0.0000,0.7427,0.7427,placement,Resting
