time_s,tracker_id,qx,qy,qz,qw,raw_grip
0.0061,CubeRed,-0.0006,0.0684,0.0091,0.9976,0
0.0065,CubeBlue,-0.0062,-0.0951,0.0131,0.9954,0
0.0497,CubeRed,-0.0006,0.0683,0.0063,0.9976,0
0.0500,CubeBlue,-0.0061,-0.0951,0.0126,0.9954,0
0.1761,CubeRed,-0.0009,0.0683,0.0050,0.9977,0
0.1763,CubeBlue,-0.0058,-0.0952,0.0128,0.9954,0
0.2035,CubeRed,-0.0018,0.0683,0.0038,0.9977,0
0.2037,CubeBlue,-0.0061,-0.0952,0.0138,0.9953,0
0.2559,CubeRed,-0.0018,0.0683,0.0038,0.9977,0
0.2561,CubeBlue,-0.0054,-0.0952,0.0143,0.9953,0
0.3692,CubeRed,-0.0017,0.0683,0.0024,0.9977,0
0.3695,CubeBlue,-0.0044,-0.0952,0.0143,0.9953,0
0.3964,CubeRed,-0.0019,0.0683,0.0028,0.9977,0
0.3967,CubeBlue,-0.0050,-0.0952,0.0140,0.9954,0
0.4522,CubeRed,-0.0030,0.0683,0.0026,0.9977,0
0.4524,CubeBlue,-0.0053,-0.0952,0.0135,0.9954,0
0.5637,CubeRed,-0.0020,0.0683,0.0022,0.9977,0
0.5640,CubeBlue,-0.0052,-0.0952,0.0145,0.9953,0
0.5920,CubeRed,-0.0030,0.0682,0.0027,0.9977,0
0.5924,CubeBlue,-0.0054,-0.0952,0.0140,0.9953,0
0.6462,CubeRed,-0.0025,0.0682,0.0019,0.9977,0
0.6464,CubeBlue,-0.0053,-0.0952,0.0143,0.9953,0
0.7550,CubeRed,-0.0025,0.0682,0.0026,0.9977,0
0.7552,CubeBlue,-0.0055,-0.0951,0.0136,0.9954,0
0.7860,CubeRed,-0.0025,0.0681,0.0025,0.9977,0
0.7861,CubeBlue,-0.0062,-0.0951,0.0138,0.9954,0
0.8411,CubeRed,-0.0017,0.0681,0.0027,0.9977,0
0.8431,CubeBlue,-0.0064,-0.0951,0.0146,0.9953,0
0.9495,CubeRed,-0.0007,0.0681,0.0025,0.9977,0
0.9498,CubeBlue,-0.0056,-0.0951,0.0145,0.9953,0
0.9809,CubeRed,-0.0023,0.0680,0.0026,0.9977,0
0.9815,CubeBlue,-0.0056,-0.0950,0.0142,0.9954,0
1.0362,CubeRed,-0.0016,0.0680,0.0025,0.9977,0
1.0364,CubeBlue,-0.0060,-0.0951,0.0144,0.9953,0
1.1473,CubeRed,-0.0018,0.0680,0.0031,0.9977,0
1.1475,CubeBlue,-0.0052,-0.0951,0.0138,0.9954,0
1.1775,CubeRed,-0.0030,0.0680,0.0024,0.9977,0
1.1781,CubeBlue,-0.0056,-0.0951,0.0138,0.9954,0
1.2299,CubeRed,-0.0030,0.0680,0.0028,0.9977,0
1.2301,CubeBlue,-0.0058,-0.0951,0.0138,0.9954,0
1.3419,CubeRed,-0.0028,0.0680,0.0027,0.9977,0
1.3421,CubeBlue,-0.0057,-0.0951,0.0136,0.9954,0
1.3706,CubeRed,-0.0024,0.0680,0.0026,0.9977,0
1.3708,CubeBlue,-0.0054,-0.0950,0.0135,0.9954,0
1.4245,CubeRed,-0.0020,0.0679,0.0032,0.9977,0
1.4247,CubeBlue,-0.0058,-0.0950,0.0143,0.9954,0
1.5342,CubeRed,-0.0029,0.0679,0.0025,0.9977,0
1.5344,CubeBlue,-0.0063,-0.0950,0.0136,0.9954,0
1.5636,CubeRed,-0.0022,0.0678,0.0027,0.9977,0
1.5637,CubeBlue,-0.0065,-0.0950,0.0132,0.9954,0
1.6188,CubeRed,-0.0022,0.0678,0.0027,0.9977,0
1.6190,CubeBlue,-0.0058,-0.0950,0.0136,0.9954,0
1.7272,CubeRed,-0.0018,0.0678,0.0026,0.9977,0
1.7274,CubeBlue,-0.0054,-0.0950,0.0133,0.9954,0
1.7587,CubeRed,-0.0028,0.0678,0.0026,0.9977,0
1.7591,CubeBlue,-0.0049,-0.0950,0.0132,0.9954,0
1.8141,CubeRed,-0.0027,0.0678,0.0029,0.9977,0
1.8143,CubeBlue,-0.0049,-0.0950,0.0132,0.9954,0
1.9246,CubeRed,-0.0022,0.0678,0.0031,0.9977,0
1.9249,CubeBlue,-0.0049,-0.0950,0.0132,0.9954,0
1.9527,CubeRed,-0.0020,0.0677,0.0028,0.9977,0
1.9529,CubeBlue,-0.0054,-0.0950,0.0136,0.9954,2
2.0101,CubeRed,-0.0020,0.0677,0.0028,0.9977,0
2.0103,CubeBlue,-0.0055,-0.0950,0.0140,0.9954,2
2.1157,CubeRed,-0.0020,0.0677,0.0032,0.9977,0
2.1160,CubeBlue,-0.0055,-0.0950,0.0134,0.9954,0
2.1484,CubeRed,-0.0020,0.0677,0.0031,0.9977,0
2.1485,CubeBlue,-0.0045,-0.0950,0.0137,0.9954,0
2.2026,CubeRed,-0.0023,0.0677,0.0029,0.9977,0
2.2028,CubeBlue,-0.0053,-0.0950,0.0138,0.9954,0
2.3130,CubeRed,-0.0026,0.0677,0.0019,0.9977,0
2.3132,CubeBlue,-0.0056,-0.0950,0.0131,0.9954,0
2.3430,CubeRed,-0.0028,0.0677,0.0023,0.9977,0
2.3435,CubeBlue,-0.0060,-0.0950,0.0140,0.9954,0
2.3968,CubeRed,-0.0028,0.0677,0.0023,0.9977,0
2.3971,CubeBlue,-0.0060,-0.0950,0.0140,0.9954,0
2.5082,CubeRed,-0.0021,0.0676,0.0019,0.9977,0
2.5084,CubeBlue,-0.0057,-0.0950,0.0133,0.9954,0
2.5376,CubeRed,-0.0022,0.0676,0.0027,0.9977,0
2.5377,CubeBlue,-0.0058,-0.0950,0.0139,0.9954,0
2.5941,CubeRed,-0.0025,0.0676,0.0027,0.9977,0
2.5942,CubeBlue,-0.0057,-0.0950,0.0142,0.9954,0
2.7040,CubeRed,-0.0029,0.0676,0.0013,0.9977,0
2.7042,CubeBlue,-0.0062,-0.0950,0.0135,0.9954,0
2.7313,CubeRed,-0.0017,0.0676,0.0022,0.9977,0
2.7316,CubeBlue,-0.0059,-0.0950,0.0134,0.9954,0
2.7850,CubeRed,-0.0017,0.0676,0.0022,0.9977,0
2.7852,CubeBlue,-0.0057,-0.0950,0.0138,0.9954,0
2.8968,CubeRed,-0.0017,0.0675,0.0025,0.9977,0
2.8972,CubeBlue,-0.0056,-0.0950,0.0141,0.9954,0
2.9250,CubeRed,-0.0013,0.0675,0.0022,0.9977,0
2.9255,CubeBlue,-0.0050,-0.0951,0.0140,0.9954,0
2.9790,CubeRed,-0.0021,0.0674,0.0027,0.9977,0
2.9791,CubeBlue,-0.0050,-0.0951,0.0140,0.9954,0
3.0915,CubeRed,-0.0027,0.0674,0.0020,0.9977,0
3.0917,CubeBlue,-0.0054,-0.0951,0.0141,0.9954,0
3.1188,CubeRed,-0.0028,0.0674,0.0023,0.9977,0
3.1190,CubeBlue,-0.0063,-0.0950,0.0137,0.9954,2
3.1761,CubeRed,-0.0026,0.0674,0.0020,0.9977,0
3.1763,CubeBlue,-0.0061,-0.0950,0.0135,0.9954,0
3.2821,CubeRed,-0.0026,0.0673,0.0028,0.9977,0
3.2823,CubeBlue,-0.0061,-0.0951,0.0137,0.9954,0
3.3001,CubeRed,0.0018,0.1047,-0.0001,0.9945,0
3.3005,CubeBlue,-0.0054,-0.0951,0.0135,0.9954,0
3.3546,CubeRed,0.0018,0.1047,-0.0001,0.9945,0
3.3548,CubeBlue,-0.0054,-0.0951,0.0143,0.9954,0
3.4655,CubeRed,0.0003,0.1180,0.0006,0.9930,0
3.4657,CubeBlue,-0.0053,-0.0951,0.0144,0.9954,0
3.4952,CubeRed,-0.0924,0.1144,0.0168,0.9890,0
3.4956,CubeBlue,-0.0061,-0.0951,0.0143,0.9953,0
3.5489,CubeRed,-0.1071,0.1258,0.0296,0.9858,0
3.5491,CubeBlue,-0.0061,-0.0951,0.0143,0.9953,0
3.6625,CubeRed,-0.0638,0.1628,-0.0183,0.9844,0
3.6627,CubeBlue,-0.0064,-0.0951,0.0143,0.9953,0
3.6896,CubeRed,-0.0188,0.1744,-0.1057,0.9788,44
3.6898,CubeBlue,-0.0050,-0.0951,0.0138,0.9954,0
3.7437,CubeRed,-0.0256,0.1606,-0.1179,0.9796,44
3.7438,CubeBlue,-0.0047,-0.0951,0.0136,0.9954,0
3.8548,CubeRed,-0.0502,0.1444,-0.1266,0.9801,48
3.8550,CubeBlue,-0.0055,-0.0951,0.0134,0.9954,0
3.8829,CubeRed,-0.0265,0.0994,-0.1022,0.9894,48
3.8831,CubeBlue,-0.0055,-0.0951,0.0145,0.9953,0
3.9378,CubeRed,-0.0226,0.0966,-0.0835,0.9916,0
3.9380,CubeBlue,-0.0055,-0.0951,0.0145,0.9953,0
4.0469,CubeRed,-0.0151,0.0887,-0.0485,0.9948,0
4.0471,CubeBlue,-0.0053,-0.0951,0.0139,0.9954,0
4.0776,CubeRed,-0.0154,0.1018,-0.0146,0.9946,0
4.0781,CubeBlue,-0.0059,-0.0950,0.0134,0.9954,0
4.1334,CubeRed,-0.0115,0.1018,-0.0007,0.9947,0
4.1335,CubeBlue,-0.0057,-0.0950,0.0133,0.9954,0
4.2437,CubeRed,-0.0244,0.1051,0.0334,0.9936,0
4.2440,CubeBlue,-0.0050,-0.0950,0.0128,0.9954,0
4.2722,CubeRed,-0.0164,0.1114,0.0285,0.9932,0
4.2723,CubeBlue,-0.0051,-0.0950,0.0144,0.9954,0
4.3270,CubeRed,-0.0110,0.1119,0.0326,0.9931,0
4.3272,CubeBlue,-0.0051,-0.0950,0.0144,0.9954,0
4.4348,CubeRed,-0.0173,0.1059,0.0361,0.9936,0
4.4350,CubeBlue,-0.0056,-0.0950,0.0147,0.9954,0
4.4663,CubeRed,0.0003,0.0715,0.0215,0.9972,0
4.4665,CubeBlue,-0.0057,-0.0951,0.0144,0.9953,0
4.5220,CubeRed,0.0003,0.0713,0.0193,0.9973,0
4.5222,CubeBlue,-0.0057,-0.0951,0.0144,0.9953,0
4.6321,CubeRed,-0.0016,0.0713,0.0166,0.9973,0
4.6323,CubeBlue,-0.0055,-0.0951,0.0138,0.9954,0
4.6625,CubeRed,-0.0040,0.0712,0.0123,0.9974,0
4.6630,CubeBlue,-0.0053,-0.0951,0.0141,0.9954,0
4.7184,CubeRed,-0.0043,0.0713,0.0127,0.9974,0
4.7185,CubeBlue,-0.0053,-0.0951,0.0141,0.9954,0
4.8295,CubeRed,-0.0047,0.0713,0.0116,0.9974,0
4.8296,CubeBlue,-0.0058,-0.0951,0.0138,0.9954,0
4.8556,CubeRed,-0.0051,0.0713,0.0096,0.9974,0
4.8558,CubeBlue,-0.0052,-0.0951,0.0138,0.9954,0
4.9091,CubeRed,-0.0054,0.0712,0.0089,0.9974,0
4.9093,CubeBlue,-0.0054,-0.0951,0.0128,0.9954,0
5.0224,CubeRed,-0.0059,0.0712,0.0091,0.9974,0
5.0226,CubeBlue,-0.0049,-0.0951,0.0138,0.9954,0
5.0504,CubeRed,-0.0059,0.0712,0.0083,0.9974,0
5.0505,CubeBlue,-0.0048,-0.0951,0.0138,0.9954,0
5.1040,CubeRed,-0.0061,0.0712,0.0085,0.9974,0
5.1042,CubeBlue,-0.0048,-0.0951,0.0138,0.9954,0
5.2132,CubeRed,-0.0058,0.0712,0.0079,0.9974,0
5.2135,CubeBlue,-0.0057,-0.0951,0.0133,0.9954,0
5.2452,CubeRed,-0.0052,0.0711,0.0066,0.9974,0
5.2457,CubeBlue,-0.0057,-0.0951,0.0141,0.9953,0
5.3014,CubeRed,-0.0048,0.0711,0.0064,0.9974,0
5.3016,CubeBlue,-0.0049,-0.0952,0.0143,0.9953,0
5.4116,CubeRed,-0.0054,0.0711,0.0063,0.9974,0
5.4117,CubeBlue,-0.0048,-0.0951,0.0137,0.9954,0
5.4392,CubeRed,-0.0040,0.0711,0.0045,0.9975,0
5.4394,CubeBlue,-0.0051,-0.0952,0.0140,0.9953,0
5.4943,CubeRed,-0.0031,0.0711,0.0037,0.9975,0
5.4944,CubeBlue,-0.0053,-0.0952,0.0137,0.9954,0
5.6050,CubeRed,-0.0030,0.0711,0.0032,0.9975,0
5.6051,CubeBlue,-0.0055,-0.0952,0.0141,0.9953,0
5.6324,CubeRed,-0.0017,0.0710,0.0017,0.9975,0
5.6326,CubeBlue,-0.0057,-0.0952,0.0144,0.9953,0
5.6876,CubeRed,-0.0026,0.0710,0.0019,0.9975,0
5.6878,CubeBlue,-0.0061,-0.0952,0.0135,0.9954,0
5.7998,CubeRed,-0.0017,0.0710,0.0015,0.9975,0
5.8000,CubeBlue,-0.0055,-0.0952,0.0138,0.9953,0
5.8284,CubeRed,-0.0016,0.0709,0.0020,0.9975,0
5.8288,CubeBlue,-0.0052,-0.0952,0.0136,0.9954,0
5.8820,CubeRed,-0.0016,0.0709,0.0020,0.9975,0
5.8821,CubeBlue,-0.0055,-0.0952,0.0140,0.9953,0
5.9919,CubeRed,-0.0027,0.0709,0.0017,0.9975,0
5.9921,CubeBlue,-0.0056,-0.0952,0.0135,0.9954,0
6.0236,CubeRed,-0.0024,0.0709,0.0018,0.9975,0
6.0238,CubeBlue,0.0019,-0.2086,0.0209,0.9778,0
6.0774,CubeRed,-0.0021,0.0709,0.0018,0.9975,0
6.0775,CubeBlue,-0.0083,-0.1715,0.0260,0.9848,0
6.1882,CubeRed,-0.0024,0.0709,0.0014,0.9975,0
6.1884,CubeBlue,-0.0059,-0.1547,0.0007,0.9879,0
6.2172,CubeRed,-0.0016,0.0709,0.0025,0.9975,0
6.2174,CubeBlue,-0.0090,-0.1551,-0.0499,0.9866,0
6.2711,CubeRed,-0.0020,0.0709,0.0018,0.9975,0
6.2712,CubeBlue,-0.0090,-0.1551,-0.0499,0.9866,0
6.3826,CubeRed,-0.0018,0.0708,0.0017,0.9975,0
6.3829,CubeBlue,-0.0144,-0.1877,-0.0921,0.9778,1
6.4114,CubeRed,-0.0021,0.0708,0.0020,0.9975,0
6.4118,CubeBlue,-0.0054,-0.1787,-0.0371,0.9832,0
6.4684,CubeRed,-0.0021,0.0708,0.0020,0.9975,0
6.4686,CubeBlue,-0.0039,-0.1718,-0.0293,0.9847,0
6.5810,CubeRed,-0.0023,0.0708,0.0023,0.9975,0
6.5811,CubeBlue,-0.0061,-0.1666,-0.0190,0.9858,0
6.6069,CubeRed,-0.0019,0.0708,0.0015,0.9975,0
6.6071,CubeBlue,-0.0102,-0.1481,0.0688,0.9865,0
6.6597,CubeRed,-0.0021,0.0708,0.0012,0.9975,0
6.6599,CubeBlue,-0.0102,-0.1481,0.0688,0.9865,0
6.7723,CubeRed,-0.0028,0.0708,0.0010,0.9975,0
6.7725,CubeBlue,-0.0096,-0.1384,0.0595,0.9885,0
6.8003,CubeRed,-0.0017,0.0707,0.0020,0.9975,0
6.8004,CubeBlue,-0.0097,-0.1401,0.0482,0.9889,0
6.8557,CubeRed,-0.0023,0.0707,0.0020,0.9975,0
6.8558,CubeBlue,-0.0095,-0.1401,0.0456,0.9890,1
6.9636,CubeRed,-0.0024,0.0707,0.0020,0.9975,2
6.9638,CubeBlue,-0.0091,-0.1401,0.0410,0.9892,1
6.9947,CubeRed,-0.0025,0.0707,0.0012,0.9975,0
6.9951,CubeBlue,-0.0084,-0.1401,0.0352,0.9895,6
7.0491,CubeRed,-0.0025,0.0707,0.0012,0.9975,0
7.0513,CubeBlue,-0.0084,-0.1401,0.0352,0.9895,6
7.1610,CubeRed,-0.0022,0.0706,0.0019,0.9975,0
7.1613,CubeBlue,-0.0082,-0.1401,0.0318,0.9896,0
7.1889,CubeRed,-0.0012,0.0706,0.0013,0.9975,0
7.1890,CubeBlue,-0.0077,-0.1401,0.0260,0.9898,0
7.2432,CubeRed,-0.0016,0.0706,0.0013,0.9975,0
7.2434,CubeBlue,-0.0076,-0.1402,0.0247,0.9898,0
7.3528,CubeRed,-0.0025,0.0705,0.0016,0.9975,0
7.3530,CubeBlue,-0.0075,-0.1401,0.0234,0.9898,0
7.3840,CubeRed,-0.0013,0.0705,0.0020,0.9975,0
7.3842,CubeBlue,-0.0072,-0.1401,0.0197,0.9899,0
7.4385,CubeRed,-0.0013,0.0705,0.0020,0.9975,0
7.4387,CubeBlue,-0.0068,-0.1401,0.0186,0.9899,0
7.5486,CubeRed,-0.0018,0.0705,0.0014,0.9975,0
7.5487,CubeBlue,-0.0070,-0.1401,0.0162,0.9900,0
7.5809,CubeRed,-0.0017,0.0704,0.0012,0.9975,0
7.5815,CubeBlue,-0.0062,-0.1401,0.0143,0.9900,0
7.6327,CubeRed,-0.0017,0.0704,0.0018,0.9975,0
7.6329,CubeBlue,-0.0067,-0.1401,0.0143,0.9900,2
7.7477,CubeRed,-0.0021,0.0704,0.0010,0.9975,0
7.7479,CubeBlue,-0.0062,-0.1401,0.0150,0.9900,2
7.7735,CubeRed,-0.0022,0.0703,0.0010,0.9975,0
7.7737,CubeBlue,-0.0071,-0.1401,0.0144,0.9900,0
7.8261,CubeRed,-0.0022,0.0703,0.0010,0.9975,0
7.8263,CubeBlue,-0.0068,-0.1401,0.0144,0.9900,0
7.9414,CubeRed,-0.0013,0.0703,0.0016,0.9975,0
7.9416,CubeBlue,-0.0065,-0.1402,0.0153,0.9900,0
7.9669,CubeRed,-0.0018,0.0702,0.0021,0.9975,0
7.9671,CubeBlue,-0.0062,-0.1402,0.0155,0.9900,0
8.0206,CubeRed,-0.0013,0.0702,0.0019,0.9975,0
8.0208,CubeBlue,-0.0061,-0.1402,0.0151,0.9900,0
8.1344,CubeRed,-0.0019,0.0702,0.0015,0.9975,0
8.1346,CubeBlue,-0.0068,-0.1402,0.0146,0.9900,0
8.1607,CubeRed,-0.0015,0.0701,0.0019,0.9975,0
8.1611,CubeBlue,-0.0060,-0.1402,0.0136,0.9900,0
8.2154,CubeRed,-0.0015,0.0701,0.0019,0.9975,0
8.2156,CubeBlue,-0.0053,-0.1402,0.0145,0.9900,0
8.3262,CubeRed,-0.0018,0.0701,0.0020,0.9975,0
8.3265,CubeBlue,-0.0066,-0.1402,0.0140,0.9900,0
8.3545,CubeRed,-0.0026,0.0701,0.0018,0.9975,0
8.3547,CubeBlue,-0.0072,-0.1402,0.0141,0.9900,0
8.4098,CubeRed,-0.0018,0.0701,0.0017,0.9975,0
8.4100,CubeBlue,-0.0072,-0.1402,0.0141,0.9900,0
8.5188,CubeRed,-0.0013,0.0701,0.0016,0.9975,0
8.5190,CubeBlue,-0.0069,-0.1402,0.0148,0.9900,0
8.5501,CubeRed,-0.0017,0.0701,0.0014,0.9975,0
8.5503,CubeBlue,-0.0060,-0.1402,0.0142,0.9900,0
8.6063,CubeRed,-0.0026,0.0701,0.0017,0.9975,0
8.6064,CubeBlue,-0.0068,-0.1402,0.0138,0.9900,0
8.7128,CubeRed,-0.0019,0.0701,0.0016,0.9975,0
8.7130,CubeBlue,-0.0066,-0.1402,0.0144,0.9900,0
8.7450,CubeRed,-0.0012,0.0700,0.0013,0.9975,0
8.7455,CubeBlue,-0.0063,-0.1402,0.0140,0.9900,0
8.7998,CubeRed,-0.0020,0.0700,0.0020,0.9975,0
8.8000,CubeBlue,-0.0063,-0.1402,0.0140,0.9900,0
8.9089,CubeRed,-0.0025,0.0700,0.0016,0.9975,0
8.9092,CubeBlue,-0.0067,-0.1402,0.0142,0.9900,0
8.9401,CubeRed,-0.0030,0.0700,0.0018,0.9975,0
8.9404,CubeBlue,0.0014,-0.1859,0.0152,0.9824,0
8.9939,CubeRed,-0.0022,0.0700,0.0014,0.9975,0
8.9940,CubeBlue,0.0069,-0.1879,0.0083,0.9821,0
9.1047,CubeRed,-0.0017,0.0700,0.0016,0.9975,0
9.1049,CubeBlue,0.0103,-0.1736,-0.0009,0.9848,0
9.1340,CubeRed,-0.0025,0.0699,0.0014,0.9975,0
9.1342,CubeBlue,0.0031,-0.2448,-0.0816,0.9661,31
9.1908,CubeRed,-0.0018,0.0699,0.0017,0.9976,0
9.1910,CubeBlue,0.0031,-0.2448,-0.0816,0.9661,31
9.2997,CubeRed,-0.0021,0.0699,0.0012,0.9976,0
9.3000,CubeBlue,-0.0030,-0.2454,-0.0895,0.9653,64
9.3277,CubeRed,-0.0013,0.0698,0.0013,0.9976,0
9.3282,CubeBlue,-0.0517,-0.2665,-0.0958,0.9577,51
9.3827,CubeRed,-0.0016,0.0698,0.0010,0.9976,0
9.3829,CubeBlue,-0.0658,-0.2725,-0.0994,0.9547,51
9.4901,CubeRed,-0.0014,0.0698,0.0016,0.9976,0
9.4904,CubeBlue,-0.0839,-0.2775,-0.0919,0.9526,21
9.5210,CubeRed,-0.0018,0.0698,0.0015,0.9976,0
9.5212,CubeBlue,-0.0941,-0.2264,-0.0922,0.9651,30
9.5775,CubeRed,-0.0015,0.0698,0.0013,0.9976,0
9.5777,CubeBlue,-0.0851,-0.2087,-0.0965,0.9695,30
9.6843,CubeRed,-0.0027,0.0697,0.0021,0.9976,0
9.6846,CubeBlue,-0.0757,-0.1908,-0.0933,0.9742,30
9.7158,CubeRed,-0.0019,0.0697,0.0015,0.9976,0
9.7161,CubeBlue,-0.0378,-0.1705,-0.0907,0.9804,39
9.7739,CubeRed,-0.0021,0.0697,0.0019,0.9976,0
9.7741,CubeBlue,-0.0289,-0.1706,-0.0906,0.9807,29
9.8796,CubeRed,-0.0023,0.0697,0.0011,0.9976,0
9.8798,CubeBlue,-0.0242,-0.1707,-0.0785,0.9819,29
9.9107,CubeRed,-0.0022,0.0697,0.0018,0.9976,0
9.9112,CubeBlue,-0.0142,-0.1658,-0.0709,0.9835,22
9.9664,CubeRed,-0.0025,0.0697,0.0016,0.9976,0
9.9667,CubeBlue,-0.0118,-0.1660,-0.0688,0.9837,22
10.0773,CubeRed,-0.0019,0.0696,0.0016,0.9976,0
10.0776,CubeBlue,0.0003,-0.1644,-0.0378,0.9857,17
10.1070,CubeRed,-0.0024,0.0697,0.0018,0.9976,0
10.1073,CubeBlue,-0.0017,-0.1782,-0.0029,0.9840,0
10.1597,CubeRed,-0.0026,0.0696,0.0021,0.9976,0
10.1599,CubeBlue,-0.0017,-0.1782,-0.0029,0.9840,0
10.2709,CubeRed,-0.0017,0.0696,0.0024,0.9976,0
10.2711,CubeBlue,-0.0012,-0.1917,0.0084,0.9814,0
10.3008,CubeRed,-0.0014,0.0696,0.0026,0.9976,0
10.3010,CubeBlue,-0.0031,-0.1916,0.0109,0.9814,0
10.3578,CubeRed,-0.0018,0.0696,0.0016,0.9976,0
