time_s,tracker_id,pos_x,pos_y,pos_z,rot_y,is_gripping,down_face_x,down_face_y,down_face_z
0.0077,CubeRed,-0.0192,0.7083,0.3153,356.69,0,0.00,-1.00,0.00
0.0078,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.1082,CubeRed,-0.0192,0.7083,0.3153,356.69,0,0.00,-1.00,0.00
0.1083,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.1356,CubeRed,-0.0192,0.7083,0.3153,356.68,0,0.00,-1.00,0.00
0.1357,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.1916,CubeRed,-0.0192,0.7083,0.3153,356.68,0,0.00,-1.00,0.00
0.1917,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.3017,CubeRed,-0.0244,0.7083,0.3424,356.68,0,0.00,-1.00,0.00
0.3019,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.3311,CubeRed,-0.0244,0.7083,0.3424,356.68,0,0.00,-1.00,0.00
0.3312,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.3857,CubeRed,-0.0244,0.7083,0.3424,356.67,0,0.00,-1.00,0.00
0.3858,CubeBlue,0.1312,0.7083,0.3544,15.83,0,0.00,-1.00,0.00
0.4973,CubeRed,-0.0244,0.7083,0.3424,356.67,0,0.00,-1.00,0.00
0.4974,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.5254,CubeRed,-0.0244,0.7083,0.3424,356.67,0,0.00,-1.00,0.00
0.5258,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.5799,CubeRed,-0.0244,0.7083,0.3424,356.67,0,0.00,-1.00,0.00
0.5800,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.6923,CubeRed,-0.0210,0.7083,0.3068,356.66,0,0.00,-1.00,0.00
0.6925,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.7199,CubeRed,-0.0210,0.7083,0.3068,356.66,0,0.00,-1.00,0.00
0.7200,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.7731,CubeRed,-0.0210,0.7083,0.3068,356.66,0,0.00,-1.00,0.00
0.7732,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.8857,CubeRed,-0.0210,0.7083,0.3068,356.66,0,0.00,-1.00,0.00
0.8859,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.9136,CubeRed,-0.0210,0.7083,0.3068,356.65,0,0.00,-1.00,0.00
0.9137,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
0.9677,CubeRed,-0.0210,0.7083,0.3068,356.65,0,0.00,-1.00,0.00
0.9679,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
1.0781,CubeRed,-0.0210,0.7083,0.3068,359.93,0,0.00,-1.00,0.00
1.0782,CubeBlue,0.1312,0.7083,0.3544,15.82,0,0.00,-1.00,0.00
1.1094,CubeRed,-0.0210,0.7083,0.3068,359.92,0,0.00,-1.00,0.00
1.1098,CubeBlue,0.1312,0.7083,0.3544,15.81,0,0.00,-1.00,0.00
1.1634,CubeRed,-0.0210,0.7083,0.3068,359.92,0,0.00,-1.00,0.00
1.1636,CubeBlue,0.1312,0.7083,0.3544,15.81,0,0.00,-1.00,0.00
1.2771,CubeRed,-0.0210,0.7083,0.3068,359.92,0,0.00,-1.00,0.00
1.2773,CubeBlue,0.1312,0.7083,0.3544,15.81,0,0.00,-1.00,0.00
1.3029,CubeRed,-0.0210,0.7083,0.3068,359.91,0,0.00,-1.00,0.00
1.3031,CubeBlue,0.1312,0.7083,0.3544,15.81,0,0.00,-1.00,0.00
1.3571,CubeRed,-0.0210,0.7083,0.3068,359.91,0,0.00,-1.00,0.00
1.3573,CubeBlue,0.1312,0.7083,0.3544,15.81,0,0.00,-1.00,0.00
1.4665,CubeRed,-0.0210,0.7083,0.3068,359.91,0,0.00,-1.00,0.00
1.4666,CubeBlue,0.1312,0.7083,0.3544,15.81,0,0.00,-1.00,0.00
1.4961,CubeRed,-0.0210,0.7083,0.3068,359.91,0,0.00,-1.00,0.00
1.4962,CubeBlue,0.1312,0.7083,0.3544,15.80,0,0.00,-1.00,0.00
1.5521,CubeRed,-0.0210,0.7083,0.3068,359.91,0,0.00,-1.00,0.00
1.5523,CubeBlue,0.1312,0.7083,0.3544,15.80,0,0.00,-1.00,0.00
1.6601,CubeRed,-0.0210,0.7083,0.3068,359.91,0,0.00,-1.00,0.00
1.6602,CubeBlue,0.1312,0.7083,0.3544,14.33,0,0.00,-1.00,0.00
1.6917,CubeRed,-0.0210,0.7083,0.3068,359.90,0,0.00,-1.00,0.00
1.6921,CubeBlue,0.1312,0.7083,0.3544,14.33,0,0.00,-1.00,0.00
1.7486,CubeRed,-0.0210,0.7083,0.3068,359.90,0,0.00,-1.00,0.00
1.7487,CubeBlue,0.1312,0.7083,0.3544,14.33,0,0.00,-1.00,0.00
1.8573,CubeRed,-0.0210,0.7083,0.3068,359.90,0,0.00,-1.00,0.00
1.8575,CubeBlue,0.1312,0.7083,0.3544,14.33,0,0.00,-1.00,0.00
1.8863,CubeRed,-0.0210,0.7083,0.3068,359.90,0,0.00,-1.00,0.00
1.8865,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
1.9410,CubeRed,-0.0210,0.7083,0.3068,359.89,0,0.00,-1.00,0.00
1.9411,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.0491,CubeRed,-0.0210,0.7083,0.3068,359.89,0,0.00,-1.00,0.00
2.0492,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.0800,CubeRed,-0.0210,0.7083,0.3068,359.89,0,0.00,-1.00,0.00
2.0801,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.1352,CubeRed,-0.0210,0.7083,0.3068,359.88,0,0.00,-1.00,0.00
2.1353,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.2472,CubeRed,-0.0210,0.7083,0.3068,359.88,0,0.00,-1.00,0.00
2.2474,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.2759,CubeRed,-0.0210,0.7083,0.3068,359.88,0,0.00,-1.00,0.00
2.2764,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.3295,CubeRed,-0.0210,0.7083,0.3068,359.88,0,0.00,-1.00,0.00
2.3297,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.4438,CubeRed,-0.0210,0.7083,0.3068,359.88,0,0.00,-1.00,0.00
2.4441,CubeBlue,0.1312,0.7083,0.3544,14.32,0,0.00,-1.00,0.00
2.4699,CubeRed,-0.0210,0.7083,0.3068,359.87,0,0.00,-1.00,0.00
2.4700,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.5239,CubeRed,-0.0210,0.7083,0.3068,359.87,0,0.00,-1.00,0.00
2.5241,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.6349,CubeRed,-0.0210,0.7083,0.3068,359.87,0,0.00,-1.00,0.00
2.6350,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.6630,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
2.6632,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.7182,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
2.7184,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.8289,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
2.8292,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.8577,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
2.8581,CubeBlue,0.1312,0.7083,0.3544,14.31,0,0.00,-1.00,0.00
2.9118,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
2.9120,CubeBlue,0.1312,0.7083,0.3544,14.30,0,0.00,-1.00,0.00
3.0235,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
3.0238,CubeBlue,0.1312,0.7083,0.3544,14.30,0,0.00,-1.00,0.00
3.0531,CubeRed,-0.0210,0.7083,0.3068,359.86,0,0.00,-1.00,0.00
3.0532,CubeBlue,0.1312,0.7083,0.3544,14.30,0,0.00,-1.00,0.00
3.1063,CubeRed,-0.0210,0.7083,0.3068,359.85,0,0.00,-1.00,0.00
3.1064,CubeBlue,0.1312,0.7083,0.3544,14.30,0,0.00,-1.00,0.00
3.2147,CubeRed,0.1287,0.7083,0.3528,359.85,0,0.00,-1.00,0.00
3.2149,CubeBlue,0.1312,0.7083,0.3544,14.30,0,0.00,-1.00,0.00
3.2321,CubeRed,0.1287,0.7083,0.3528,359.85,0,0.00,-1.00,0.00
3.2323,CubeBlue,0.1312,0.7083,0.3544,14.29,0,0.00,-1.00,0.00
3.2899,CubeRed,0.1287,0.7083,0.3528,359.85,0,0.00,-1.00,0.00
3.2901,CubeBlue,0.1312,0.7083,0.3544,14.29,0,0.00,-1.00,0.00
3.3972,CubeRed,0.1311,0.7083,0.3549,359.85,0,0.00,-1.00,0.00
3.3974,CubeBlue,0.1312,0.7083,0.3544,14.29,0,0.00,-1.00,0.00
3.4269,CubeRed,0.1311,0.7083,0.3549,359.85,0,0.00,-1.00,0.00
3.4274,CubeBlue,0.1312,0.7083,0.3544,14.29,0,0.00,-1.00,0.00
3.4827,CubeRed,0.1311,0.7083,0.3549,359.85,0,0.00,-1.00,0.00
3.4828,CubeBlue,0.1312,0.7083,0.3544,14.29,0,0.00,-1.00,0.00
3.5900,CubeRed,-0.0232,0.7083,0.3154,359.84,0,0.00,-1.00,0.00
3.5902,CubeBlue,0.1261,0.7083,0.3544,11.01,0,0.00,-1.00,0.00
3.6079,CubeRed,-0.0232,0.7083,0.3154,359.84,0,0.00,-1.00,0.00
3.6081,CubeBlue,0.1261,0.7083,0.3544,7.28,0,0.00,-1.00,0.00
3.6629,CubeRed,-0.0232,0.7083,0.3154,359.84,0,0.00,-1.00,0.00
3.6630,CubeBlue,0.1261,0.7083,0.3544,7.63,0,0.00,-1.00,0.00
3.7751,CubeRed,-0.0232,0.7083,0.3154,359.84,0,0.00,-1.00,0.00
3.7753,CubeBlue,0.1261,0.7083,0.3544,8.59,0,0.00,-1.00,0.00
3.8032,CubeRed,-0.0232,0.7083,0.3154,359.83,0,0.00,-1.00,0.00
3.8034,CubeBlue,0.1261,0.7083,0.3544,13.35,0,0.00,-1.00,0.00
3.8587,CubeRed,-0.0232,0.7083,0.3154,359.83,0,0.00,-1.00,0.00
