time_s,tracker_id,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w,euler_x,euler_y,euler_z,vel_x,vel_y,vel_z,speed_mps,ang_vel_deg_s,is_gripping,grip_source,contact_level,raw_grip,imu_delta_deg,down_face_x,down_face_y,down_face_z
0.0077,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.63,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.0078,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1060,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1062,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1349,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.217,0.00,-1.00,0.00
0.1353,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1897,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.1917,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3011,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.186,0.00,-1.00,0.00
0.3013,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3303,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3304,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3843,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.3844,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4952,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.4954,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5253,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5255,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5786,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.5787,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6899,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.6901,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7194,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7199,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7741,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.7742,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8902,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8884,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.8886,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9137,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9138,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4555,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9661,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
0.9662,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.19,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.0805,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.0807,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1062,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.163,0.00,-1.00,0.00
1.1064,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1612,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.3471,0.0000,0.9378,0.00,40.62,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.1613,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2706,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4337,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,197.11,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.2708,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3019,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4336,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3024,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4553,0.0000,0.8903,0.00,54.17,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3567,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4336,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.3602,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4553,0.0000,0.8903,0.00,54.17,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4691,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4336,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4693,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4553,0.0000,0.8903,0.00,54.17,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4966,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4336,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.4967,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5499,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4336,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.5500,CubeRed,0.1452,0.7255,0.3190,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6626,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4337,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6629,CubeRed,0.1480,0.7255,0.3344,0.0000,0.4554,0.0000,0.8903,0.00,54.18,0.00,0.0536,0.0000,0.2871,0.2920,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6920,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4337,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.6921,CubeRed,0.1480,0.7255,0.3344,0.0000,0.4553,0.0000,0.8903,0.00,54.17,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7449,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4337,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.7450,CubeRed,0.1480,0.7255,0.3344,0.0000,0.4553,0.0000,0.8903,0.00,54.17,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8566,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4337,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8568,CubeRed,0.1480,0.7255,0.3344,0.0000,0.4553,0.0000,0.8903,0.00,54.17,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
1.8872,CubeBlue,0.2600,0.7255,0.4563,0.0000,0.4336,0.0000,0.9011,0.00,51.40,0.00,0.0000,0.0000,0.0000,0.0000,0.00,0,none,Resting,0,0.000,0.00,-1.00,0.00
